Date,Season,jornada,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2009-08-29,2009,1,real madrid,la coruna,1.25,5.5,13.0,0.7556,0.1717,0.0727,2,2,1.25,1.25,0.25,0.25,-0.05548216644649928
2009-08-29,2009,1,zaragoza,tenerife,1.91,3.4,4.2,0.4959,0.2786,0.2255,2,2,1.91,1.91,0.9099999999999999,1.16,-0.05282678149743025
2009-08-30,2009,1,osasuna,villarreal,2.88,3.2,2.5,0.3277,0.2949,0.3775,1,0,2.5,0.0,-1.0,0.15999999999999992,-0.056356487549148016
2009-08-30,2009,1,mallorca,xerez,1.91,3.4,4.33,0.4993,0.2805,0.2202,2,2,1.91,1.91,0.9099999999999999,1.0699999999999998,-0.046370009122880806
2009-08-30,2009,1,almeria,valladolid,2.1,3.3,3.5,0.4472,0.2846,0.2683,1,2,2.1,0.0,-1.0,0.06999999999999984,-0.060975609756097615
2009-08-30,2009,1,santander,getafe,2.15,3.3,3.4,0.4379,0.2853,0.2769,0,2,2.15,0.0,-1.0,-0.9300000000000002,-0.05861463414634149
2009-08-30,2009,1,valencia,sevilla,2.25,3.3,3.2,0.4193,0.2859,0.2948,2,2,2.25,2.25,1.25,0.31999999999999984,-0.05658129839189985
2009-08-30,2009,1,malaga,ath madrid,3.4,3.4,2.1,0.2763,0.2763,0.4474,2,0,2.1,0.0,-1.0,-0.6800000000000002,-0.06052631578947365
2009-08-30,2009,1,ath bilbao,espanol,2.1,3.3,3.5,0.4472,0.2846,0.2683,2,2,2.1,2.1,1.1,0.41999999999999993,-0.060975609756097615
2009-08-31,2009,1,barcelona,sp gijon,1.17,8.0,13.0,0.8089,0.1183,0.0728,2,2,1.17,1.17,0.16999999999999993,0.5899999999999999,-0.053589484327603576
2009-09-12,2009,2,ath madrid,santander,1.44,4.33,7.0,0.6501,0.2162,0.1337,1,2,1.44,0.0,-1.0,-0.41000000000000014,-0.06388819779861543
2009-09-12,2009,2,espanol,real madrid,6.0,3.8,1.57,0.1562,0.2467,0.5971,0,0,1.57,1.57,0.5700000000000001,0.15999999999999992,-0.06258838317708071
2009-09-12,2009,2,getafe,barcelona,6.5,4.2,1.5,0.1453,0.2249,0.6298,0,0,1.5,1.5,0.5,0.6599999999999999,-0.05536332179930792
2009-09-12,2009,2,sevilla,zaragoza,1.57,3.8,6.0,0.5971,0.2467,0.1562,2,2,1.57,1.57,0.5700000000000001,1.23,-0.06258838317708071
2009-09-13,2009,2,la coruna,malaga,1.83,3.5,4.33,0.514,0.2688,0.2172,2,2,1.83,1.83,0.8300000000000001,2.06,-0.05936290653543108
2009-09-13,2009,2,sp gijon,almeria,2.38,3.25,3.0,0.3959,0.2899,0.3141,2,2,2.38,2.38,1.38,3.44,-0.05766497461928932
2009-09-13,2009,2,tenerife,osasuna,2.38,3.25,3.0,0.3959,0.2899,0.3141,2,2,2.38,2.38,1.38,4.82,-0.05766497461928932
2009-09-13,2009,2,valladolid,valencia,3.4,3.4,2.1,0.2763,0.2763,0.4474,0,0,2.1,2.1,1.1,5.92,-0.06052631578947365
2009-09-13,2009,2,villarreal,mallorca,1.57,3.8,6.0,0.5971,0.2467,0.1562,1,2,1.57,0.0,-1.0,4.92,-0.06258838317708071
2009-09-13,2009,2,xerez,ath bilbao,2.75,3.2,2.63,0.3442,0.2958,0.3599,0,0,2.63,2.63,1.63,6.55,-0.053357056670143344
2009-09-19,2009,3,barcelona,ath madrid,1.33,5.0,8.5,0.703,0.187,0.11,2,2,1.33,1.33,0.33000000000000007,6.88,-0.06500703002233055
2009-09-19,2009,3,la coruna,espanol,1.95,3.4,3.8,0.4792,0.2749,0.2459,0,2,1.95,0.0,-1.0,5.88,-0.0655044510385756
2009-09-19,2009,3,malaga,santander,2.05,3.3,3.6,0.4565,0.2836,0.2599,0,2,2.05,0.0,-1.0,4.88,-0.06420749279538907
2009-09-19,2009,3,mallorca,tenerife,2.0,3.4,3.6,0.4665,0.2744,0.2591,2,2,2.0,2.0,1.0,5.88,-0.06707317073170749
2009-09-19,2009,3,osasuna,sevilla,3.25,3.25,2.25,0.2903,0.2903,0.4194,0,0,2.25,2.25,1.25,7.13,-0.05645161290322587
2009-09-20,2009,3,almeria,getafe,2.5,3.25,2.8,0.3756,0.289,0.3354,2,2,2.5,2.5,1.5,8.629999999999999,-0.06088751289989669
2009-09-20,2009,3,ath bilbao,villarreal,2.63,3.25,2.63,0.356,0.2881,0.356,2,0,2.63,0.0,-1.0,7.629999999999999,-0.06380065717415118
