Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2015-08-21,2015,malaga,sevilla,3.4,3.4,2.15,0.2792,0.2792,0.4416,1,0,2.15,0.0,-1.0,-1.0,-0.05064935064935072
2015-08-22,2015,ath madrid,las palmas,1.2,6.5,15.0,0.7908,0.146,0.0633,2,2,1.2,1.2,0.19999999999999996,-0.8,-0.051094890510948954
2015-08-22,2015,espanol,getafe,1.91,3.4,4.33,0.4993,0.2805,0.2202,2,2,1.91,1.91,0.9099999999999999,0.10999999999999988,-0.046370009122880806
2015-08-22,2015,la coruna,sociedad,2.5,3.2,3.0,0.3825,0.2988,0.3187,1,2,2.5,0.0,-1.0,-0.8900000000000001,-0.043824701195219085
2015-08-22,2015,vallecano,valencia,3.6,3.5,2.05,0.2642,0.2718,0.464,1,0,2.05,0.0,-1.0,-1.8900000000000001,-0.04879396059657515
2015-08-23,2015,sp gijon,real madrid,13.0,6.5,1.22,0.0732,0.1465,0.7803,1,0,1.22,0.0,-1.0,-2.89,-0.04801920768307333
2015-08-23,2015,levante,celta,3.6,3.3,2.15,0.2656,0.2897,0.4447,0,0,2.15,2.15,1.15,-1.7400000000000002,-0.04390791690061768
2015-08-23,2015,betis,villarreal,2.8,3.25,2.6,0.3403,0.2932,0.3665,1,0,2.6,0.0,-1.0,-2.74,-0.047120418848167644
2015-08-23,2015,ath bilbao,barcelona,6.5,4.33,1.5,0.1463,0.2196,0.634,0,0,1.5,1.5,0.5,-2.24,-0.048941202973642794
2015-08-24,2015,granada,eibar,1.91,3.3,4.5,0.4992,0.2889,0.2119,0,2,1.91,0.0,-1.0,-3.24,-0.046540943929003764
2015-08-28,2015,villarreal,espanol,1.57,3.8,6.5,0.6043,0.2497,0.146,2,2,1.57,1.57,0.5700000000000001,-2.67,-0.0511854371069953
2015-08-29,2015,real madrid,betis,1.1,10.0,26.0,0.8678,0.0955,0.0367,2,2,1.1,1.1,0.10000000000000009,-2.57,-0.04539385847797062
2015-08-29,2015,sociedad,sp gijon,1.85,3.5,4.5,0.5155,0.2725,0.2119,1,2,1.85,0.0,-1.0,-3.57,-0.046235679214402414
