test_season,train_until,acc,logloss,brier,roi,profit_total,investment_total,n_test
2007,2006,0.5078947368421053,1.0105398298458386,0.6026234795085226,-0.03471052631578946,-13.189999999999996,380.0,380
2008,2007,0.5710526315789474,0.9706004560347625,0.5735880526186508,0.07907894736842107,30.050000000000004,380.0,380
2009,2008,0.5815789473684211,0.921354230478812,0.5470738005263559,0.04284210526315791,16.280000000000005,380.0,380
2010,2009,0.6078947368421053,0.9292281320976271,0.5457396656614759,0.09042105263157894,34.36,380.0,380
2011,2010,0.5368421052631579,0.9467655454226773,0.5631493980810652,-0.07910526315789472,-30.059999999999995,380.0,380
2012,2011,0.5526315789473685,0.9428215745471997,0.5565938014072176,-0.037368421052631565,-14.199999999999996,380.0,380
2013,2012,0.5368421052631579,0.9556050888929084,0.5648192688324315,-0.09910526315789472,-37.66,380.0,380
2014,2013,0.5657894736842105,0.902423832972344,0.5300615057797313,-0.060105263157894724,-22.839999999999996,380.0,380
2015,2014,0.5473684210526316,0.929426850031686,0.5507083192916338,-0.06257894736842105,-23.78,380.0,380
2016,2015,0.5868421052631579,0.9026510017568276,0.5319314021711873,0.0005789473684210485,0.21999999999999842,380.0,380
2017,2016,0.55,0.9595552614293644,0.5705010744040174,-0.028684210526315784,-10.899999999999999,380.0,380
2018,2017,0.4868421052631579,1.0102501469680754,0.6025155162261767,-0.12710526315789472,-48.3,380.0,380
2019,2018,0.5105263157894737,0.9839405174145234,0.5880212888987466,-0.06128947368421051,-23.289999999999996,380.0,380
2020,2019,0.531578947368421,0.9878957924879556,0.5868265577692295,-0.01936842105263158,-7.36,380.0,380
2021,2020,0.5157894736842106,0.9877620192828472,0.5885172709153725,-0.04513157894736842,-17.15,380.0,380
2022,2021,0.5421052631578948,0.9797455178546111,0.5830972206542957,0.01823684210526315,6.929999999999996,380.0,380
2023,2022,0.5526315789473685,0.947332335266338,0.5630388320952404,0.02178947368421053,8.280000000000001,380.0,380
2024,2023,0.5447368421052632,0.9534095113153103,0.564041498230718,-0.018,-6.839999999999999,380.0,380
2025,2024,0.5294117647058824,0.9559826912114984,0.5684721184739621,-0.07058823529411767,-3.6000000000000014,51.0,51
