test_season,train_until,accuracy,macro_f1,n_test,wk_min,wk_max,precision_A,recall_A,f1_A,support_A,precision_D,recall_D,f1_D,support_D,precision_H,recall_H,f1_H,support_H
2007,2006,0.4263157894736842,0.37431167588986813,380,0,0,0.3191489361702128,0.2702702702702703,0.2926829268292683,111,0.26506024096385544,0.25287356321839083,0.25882352941176473,87,0.541871921182266,0.6043956043956044,0.5714285714285714,182
2008,2007,0.48157894736842105,0.39461560618644675,380,0,0,0.41836734693877553,0.36283185840707965,0.3886255924170616,113,0.22,0.13253012048192772,0.16541353383458646,83,0.5646551724137931,0.7119565217391305,0.6298076923076923,184
2009,2008,0.531578947368421,0.43418803418803414,380,0,0,0.4519230769230769,0.5164835164835165,0.48205128205128206,91,0.2857142857142857,0.10526315789473684,0.15384615384615385,95,0.6016597510373444,0.7474226804123711,0.6666666666666666,194
2010,2009,0.5815789473684211,0.42571224783667755,380,0,0,0.6212121212121212,0.3942307692307692,0.4823529411764706,104,0.26666666666666666,0.05063291139240506,0.0851063829787234,79,0.5886287625418061,0.8934010152284264,0.7096774193548387,197
2011,2010,0.5605263157894737,0.42018119337706966,380,0,0,0.582089552238806,0.3979591836734694,0.4727272727272727,98,0.3125,0.05319148936170213,0.09090909090909091,94,0.569023569023569,0.898936170212766,0.6969072164948453,188
2012,2011,0.531578947368421,0.36600518719000297,380,0,0,0.44047619047619047,0.34579439252336447,0.387434554973822,107,0.1111111111111111,0.011904761904761904,0.021505376344086023,84,0.5714285714285714,0.8677248677248677,0.6890756302521008,189
2013,2012,0.5210526315789473,0.3886483623199906,380,0,0,0.5131578947368421,0.3391304347826087,0.4083769633507853,115,0.3125,0.05813953488372093,0.09803921568627451,86,0.5347222222222222,0.8603351955307262,0.6595289079229122,179
2014,2013,0.5578947368421052,0.4244806574234093,380,0,0,0.5865384615384616,0.5169491525423728,0.5495495495495496,118,0.16666666666666666,0.02197802197802198,0.038834951456310676,91,0.5643939393939394,0.8713450292397661,0.6850574712643678,171
2015,2014,0.5394736842105263,0.45433712714512514,380,0,0,0.4672131147540984,0.5428571428571428,0.5022026431718062,105,0.2857142857142857,0.13043478260869565,0.1791044776119403,92,0.6296296296296297,0.7431693989071039,0.681704260651629,183
2016,2015,0.55,0.456706779317622,380,0,0,0.543859649122807,0.5636363636363636,0.5535714285714286,110,0.23684210526315788,0.10112359550561797,0.14173228346456693,89,0.6052631578947368,0.7624309392265194,0.6748166259168704,181
2017,2016,0.5421052631578948,0.42475004459529647,380,0,0,0.5145631067961165,0.4608695652173913,0.48623853211009177,115,0.2857142857142857,0.06976744186046512,0.11214953271028037,86,0.57421875,0.8212290502793296,0.6758620689655173,179
2018,2017,0.4868421052631579,0.3861593235425011,380,0,0,0.4107142857142857,0.45098039215686275,0.42990654205607476,102,0.375,0.05454545454545454,0.09523809523809523,110,0.5277777777777778,0.7916666666666666,0.6333333333333333,168
2019,2018,0.4763157894736842,0.3876548110900367,380,0,0,0.3828125,0.48514851485148514,0.4279475982532751,101,0.23333333333333334,0.06666666666666667,0.1037037037037037,105,0.5630630630630631,0.7183908045977011,0.6313131313131313,174
2020,2019,0.5289473684210526,0.4634790222818392,380,0,0,0.5275590551181102,0.5929203539823009,0.5583333333333333,113,0.42424242424242425,0.12844036697247707,0.19718309859154928,109,0.5454545454545454,0.759493670886076,0.6349206349206349,158
2021,2020,0.5105263157894737,0.41372043010752685,380,0,0,0.453125,0.5576923076923077,0.5,104,0.42857142857142855,0.05405405405405406,0.096,111,0.5462184873949579,0.7878787878787878,0.6451612903225806,165
2022,2021,0.5394736842105263,0.4202730602730602,380,0,0,0.5,0.5596330275229358,0.5281385281385281,109,0.36363636363636365,0.0449438202247191,0.08,89,0.5668016194331984,0.7692307692307693,0.6526806526806527,182
2023,2022,0.55,0.4296631591882372,380,0,0,0.5327102803738317,0.5377358490566038,0.5352112676056338,106,0.5714285714285714,0.037383177570093455,0.07017543859649122,107,0.556390977443609,0.8862275449101796,0.6836027713625866,167
2024,2023,0.5710526315789474,0.46780309779187307,380,0,0,0.5636363636363636,0.543859649122807,0.5535714285714286,114,0.5294117647058824,0.09278350515463918,0.15789473684210525,97,0.5770750988142292,0.863905325443787,0.6919431279620853,169
2025,2024,0.4666666666666667,0.3891039263307023,60,0,0,0.4117647058823529,0.4666666666666667,0.4375,15,0.1111111111111111,0.05555555555555555,0.07407407407407407,18,0.5882352941176471,0.7407407407407407,0.6557377049180327,27
