test_season,train_until,accuracy,macro_f1,n_test,wk_min,wk_max,precision_A,recall_A,f1_A,support_A,precision_D,recall_D,f1_D,support_D,precision_H,recall_H,f1_H,support_H
2007,2006,0.3973684210526316,0.373361214085729,380,0,0,0.3125,0.3153153153153153,0.31390134529147984,111,0.26605504587155965,0.3333333333333333,0.29591836734693877,87,0.5471698113207547,0.47802197802197804,0.5102639296187683,182
2008,2007,0.3973684210526316,0.36611227824463116,380,0,0,0.3333333333333333,0.4690265486725664,0.3897058823529412,113,0.2,0.20481927710843373,0.20238095238095238,83,0.5955882352941176,0.44021739130434784,0.50625,184
2009,2008,0.5052631578947369,0.47213373286428667,380,0,0,0.4117647058823529,0.6153846153846154,0.4933920704845815,91,0.32941176470588235,0.29473684210526313,0.3111111111111111,95,0.6792452830188679,0.5567010309278351,0.6118980169971672,194
2010,2009,0.4842105263157895,0.429475476092438,380,0,0,0.45098039215686275,0.4423076923076923,0.44660194174757284,104,0.2261904761904762,0.24050632911392406,0.2331288343558282,79,0.6134020618556701,0.6040609137055838,0.6086956521739131,197
2011,2010,0.5210526315789473,0.49228410533813105,380,0,0,0.49504950495049505,0.5102040816326531,0.5025125628140703,98,0.37777777777777777,0.3617021276595745,0.3695652173913043,94,0.6031746031746031,0.6063829787234043,0.6047745358090185,188
2012,2011,0.45526315789473687,0.4252068202275671,380,0,0,0.39552238805970147,0.4953271028037383,0.43983402489626555,107,0.22857142857142856,0.2857142857142857,0.25396825396825395,84,0.6808510638297872,0.5079365079365079,0.5818181818181818,189
2013,2012,0.5184210526315789,0.48862666443813024,380,0,0,0.5098039215686274,0.45217391304347826,0.4792626728110599,115,0.3177570093457944,0.3953488372093023,0.35233160621761656,86,0.6491228070175439,0.6201117318435754,0.6342857142857142,179
2014,2013,0.5105263157894737,0.4802014627361242,380,0,0,0.4888888888888889,0.559322033898305,0.5217391304347826,118,0.2903225806451613,0.2967032967032967,0.29347826086956524,91,0.6644736842105263,0.5906432748538012,0.6253869969040248,171
2015,2014,0.4631578947368421,0.44768498828739417,380,0,0,0.43703703703703706,0.5619047619047619,0.49166666666666664,105,0.23809523809523808,0.32608695652173914,0.27522935779816515,92,0.7310924369747899,0.47540983606557374,0.5761589403973509,183
2016,2015,0.5,0.4790007646845482,380,0,0,0.5161290322580645,0.5818181818181818,0.5470085470085471,110,0.2631578947368421,0.33707865168539325,0.2955665024630542,89,0.676056338028169,0.5303867403314917,0.5944272445820433,181
2017,2016,0.47368421052631576,0.4622485613499099,380,0,0,0.512396694214876,0.5391304347826087,0.5254237288135594,115,0.2556390977443609,0.3953488372093023,0.3105022831050228,86,0.6666666666666666,0.4692737430167598,0.5508196721311476,179
2018,2017,0.40789473684210525,0.4040890718243886,380,0,0,0.36619718309859156,0.5098039215686274,0.4262295081967213,102,0.304,0.34545454545454546,0.32340425531914896,110,0.5752212389380531,0.3869047619047619,0.4626334519572954,168
2019,2018,0.39473684210526316,0.39747817184685347,380,0,0,0.375,0.4752475247524752,0.4192139737991266,101,0.2768361581920904,0.4666666666666667,0.3475177304964539,105,0.7066666666666667,0.3045977011494253,0.42570281124497994,174
2020,2019,0.47368421052631576,0.4745918946382148,380,0,0,0.4957983193277311,0.5221238938053098,0.5086206896551724,113,0.3509933774834437,0.48623853211009177,0.4076923076923077,109,0.6181818181818182,0.43037974683544306,0.5074626865671642,158
2021,2020,0.47368421052631576,0.46075570520014963,380,0,0,0.41007194244604317,0.5480769230769231,0.4691358024691358,104,0.3302752293577982,0.32432432432432434,0.32727272727272727,111,0.6590909090909091,0.5272727272727272,0.5858585858585859,165
2022,2021,0.46842105263157896,0.4289865082925985,380,0,0,0.4233128834355828,0.6330275229357798,0.5073529411764706,109,0.2571428571428571,0.20224719101123595,0.22641509433962265,89,0.6190476190476191,0.5,0.5531914893617021,182
2023,2022,0.5210526315789473,0.5076597735300713,380,0,0,0.5081967213114754,0.5849056603773585,0.543859649122807,106,0.3277310924369748,0.3644859813084112,0.34513274336283184,107,0.697841726618705,0.5808383233532934,0.6339869281045751,167
2024,2023,0.5236842105263158,0.5193478563865569,380,0,0,0.580952380952381,0.5350877192982456,0.5570776255707762,114,0.3333333333333333,0.5051546391752577,0.4016393442622951,97,0.6953125,0.5266272189349113,0.5993265993265994,169
2025,2024,0.4142857142857143,0.4213436194149791,70,0,0,0.47058823529411764,0.47058823529411764,0.47058823529411764,17,0.2926829268292683,0.6,0.39344262295081966,20,0.75,0.2727272727272727,0.4,33
