Season_model,Date,jornada_model,HomeTeam_norm,AwayTeam_norm,B365H_model,B365D_model,B365A_model,true_result_model,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return_model,net_profit_model,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin,Season_b365,jornada_b365,B365H_b365,B365D_b365,B365A_b365,p_H,p_D,p_A,true_result_b365,bet365_pred,picked_odds,bet_return_b365,net_profit_b365,Cum_net_profit,edge_b365_pick,delta_profit
2025,2025-08-15,1,girona,vallecano,2.25,3.25,3.3,0,1,D,0.3779031143562257,3.25,0.2281851216577337,D,0.2281851216577337,0.3779031143562257,3.25,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%,2025,1,2.25,3.25,3.3,0.4212,0.2916,0.2872,0,2,2.25,0.0,-1.0,-1.0,-0.0522827687776141,0.0
2025,2025-08-15,1,villarreal,real oviedo,1.4,4.75,8.0,2,2,H,0.5560021561140499,1.4,-0.2215969814403301,A,1.2842490367604982,0.2855311295950622,8.0,True,1.4,0.3999999999999999,0.0,-1.0,✓,✗,<0%,≥5%,2025,1,1.4,4.75,8.0,0.6804,0.2005,0.1191,2,2,1.4,1.4,0.3999999999999999,-0.6000000000000001,-0.0474485228290062,0.0
2025,2025-08-16,1,mallorca,barcelona,7.0,5.0,1.4,0,0,A,0.729263149696183,1.4,0.020968409574656,D,0.0579540836252623,0.2115908167250524,5.0,True,1.4,0.3999999999999999,0.0,-1.0,✓,✗,2–5%,≥5%,2025,1,7.0,5.0,1.4,0.1351,0.1892,0.6757,0,0,1.4,1.4,0.3999999999999999,-0.2000000000000001,-0.0540540540540541,0.0
2025,2025-08-16,1,alaves,levante,2.15,3.0,3.8,2,1,D,0.341142283762263,3.0,0.023426851286789,A,0.2855686178707295,0.338307531018613,3.8,True,0.0,-1.0,0.0,-1.0,✗,✗,2–5%,≥5%,2025,1,2.15,3.0,3.8,0.4381,0.314,0.2479,2,2,2.15,2.15,1.15,0.9499999999999996,-0.058032282859339,-2.15
2025,2025-08-16,1,valencia,sociedad,2.6,2.9,3.1,1,1,D,0.4142678491533374,2.9,0.2013767625446785,D,0.2013767625446785,0.4142678491533374,2.9,True,2.9,1.9,2.9,1.9,✓,✓,≥5%,≥5%,2025,1,2.6,2.9,3.1,0.3656,0.3278,0.3066,1,2,2.6,0.0,-1.0,-0.0500000000000002,-0.0494509963399755,2.9
2025,2025-08-17,1,ath bilbao,sevilla,1.57,3.9,6.0,2,2,H,0.4278444247631511,1.57,-0.3282842531218526,D,0.53504925078666,0.3936023719965795,3.9,True,1.57,0.5700000000000001,0.0,-1.0,✓,✗,<0%,≥5%,2025,1,1.57,3.9,6.0,0.6009,0.2419,0.1572,2,2,1.57,1.57,0.5700000000000001,0.5199999999999998,-0.0566212156228335,0.0
2025,2025-08-17,1,espanol,ath madrid,6.0,3.9,1.57,2,0,A,0.5646622904444774,1.57,-0.1134802040021705,D,0.0694574474477247,0.2742198583199294,3.9,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%,2025,1,6.0,3.9,1.57,0.1572,0.2419,0.6009,2,0,1.57,0.0,-1.0,-0.4800000000000002,-0.0566212156228335,0.0
2025,2025-08-17,1,celta,getafe,1.73,3.5,5.25,0,2,H,0.4488715497581205,1.73,-0.2234522189184515,A,0.2935204209289361,0.2463848420817021,5.25,True,0.0,-1.0,5.25,4.25,✗,✓,<0%,≥5%,2025,1,1.73,3.5,5.25,0.5483,0.271,0.1807,0,2,1.73,0.0,-1.0,-1.4800000000000002,-0.0514360313315925,0.0
2025,2025-08-18,1,elche,betis,3.4,3.3,2.2,1,0,A,0.422441877638136,2.2,-0.0706278691961007,D,0.078229462656983,0.3267362008051464,3.3,True,0.0,-1.0,3.3,2.3,✗,✓,<0%,≥5%,2025,1,3.4,3.3,2.2,0.2797,0.2881,0.4322,1,0,2.2,0.0,-1.0,-2.4800000000000004,-0.0491525423728813,0.0
2025,2025-08-19,1,real madrid,osasuna,1.22,6.25,13.0,2,2,H,0.7244250486764072,1.22,-0.1162014406147832,D,0.3663800594467765,0.2186208095114842,6.25,True,1.22,0.2199999999999999,0.0,-1.0,✓,✗,<0%,≥5%,2025,1,1.22,6.25,13.0,0.7758,0.1514,0.0728,2,2,1.22,1.22,0.2199999999999999,-2.2600000000000007,-0.0535637561464649,0.0
