model,test_season,train_until,n_bets_model,roi_model,profit_model,hit_rate,avg_odds,avg_edge,avg_value_ev,max_drawdown_pct,stake_m,min_edge,wk_min,wk_max,investment_total_model,acc,logloss,brier,roi_bet365,profit_bet365,investment_total,n_bets_bet365,stake_b,investment_total_bet365,delta_roi,delta_profit
base,2007,2006,380,0.0275526315789473,10.47,0.481578947368421,2.336973684210526,0.061606265883091,0.2315002056691725,1.0048270313757035,1.0,0.0,0,0,380.0,0.5078947368421053,1.0105398298458386,0.6026234795085226,-0.0347105263157894,-13.189999999999998,380.0,380,1.0,380.0,0.0622631578947367,23.659999999999997
base,2008,2007,380,0.0565263157894736,21.48,0.5078947368421053,2.343368421052632,0.0744225256739028,0.2440579104423076,1.5849744711889129,1.0,0.0,0,0,380.0,0.5710526315789474,0.9706004560347627,0.5735880526186508,0.079078947368421,30.050000000000004,380.0,380,1.0,380.0,-0.0225526315789474,-8.570000000000004
base,2009,2008,380,-0.0207894736842105,-7.900000000000002,0.5052631578947369,2.2594473684210525,0.0652419813486413,0.2221826539983789,1.7608095676172957,1.0,0.0,0,0,380.0,0.5815789473684211,0.921354230478812,0.5470738005263559,0.0428421052631579,16.28,380.0,380,1.0,380.0,-0.0636315789473684,-24.180000000000003
base,2010,2009,380,-0.0086315789473684,-3.280000000000001,0.5157894736842106,2.2623157894736843,0.0453573942459197,0.224088758156087,1.3985801217038538,1.0,0.0,0,0,380.0,0.6078947368421053,0.9292281320976272,0.5457396656614759,0.0904210526315789,34.36000000000001,380.0,380,1.0,380.0,-0.09905263157894731,-37.64000000000001
base,2011,2010,380,0.0818684210526315,31.110000000000007,0.5473684210526316,2.2042631578947365,0.0540710497291224,0.2674759536002561,0.2935647143890095,1.0,0.0,0,0,380.0,0.5368421052631579,0.9467655454226772,0.5631493980810652,-0.0791052631578947,-30.059999999999988,380.0,380,1.0,380.0,0.1609736842105262,61.169999999999995
base,2012,2011,380,-0.0647368421052631,-24.6,0.4947368421052631,2.192605263157895,0.0218072704402552,0.1982976694714512,14.186363636363645,1.0,0.0,0,0,380.0,0.5526315789473685,0.9428215745471998,0.5565938014072176,-0.0373684210526315,-14.2,380.0,380,1.0,380.0,-0.027368421052631604,-10.400000000000002
base,2013,2012,380,-0.0004736842105263,-0.1799999999999997,0.5289473684210526,2.1575526315789477,0.0512979407865361,0.2340210194676237,2.584342211460856,1.0,0.0,0,0,380.0,0.5368421052631579,0.9556050888929084,0.5648192688324314,-0.0991052631578947,-37.66,380.0,380,1.0,380.0,0.09863157894736839,37.48
base,2014,2013,380,0.0863684210526316,32.82000000000001,0.5763157894736842,2.131263157894737,0.0613046871658685,0.2752011970440139,0.3084028605482716,1.0,0.0,0,0,380.0,0.5657894736842105,0.902423832972344,0.5300615057797313,-0.0601052631578947,-22.84,380.0,380,1.0,380.0,0.1464736842105263,55.66000000000001
base,2015,2014,380,-0.0646578947368421,-24.570000000000004,0.4947368421052631,2.265526315789474,0.0867143025782066,0.2948342493219312,6.190388170055449,1.0,0.0,0,0,380.0,0.5473684210526316,0.929426850031686,0.5507083192916338,-0.062578947368421,-23.78,380.0,380,1.0,380.0,-0.002078947368421097,-0.7900000000000027
base,2016,2015,380,0.0039473684210526,1.499999999999993,0.531578947368421,2.2203157894736845,0.1047103072867986,0.3140419815221322,1.2091405861897664,1.0,0.0,0,0,380.0,0.5868421052631579,0.902651001756828,0.5319314021711873,0.000578947368421,0.2199999999999957,380.0,380,1.0,380.0,0.0033684210526315995,1.2799999999999971
