match_num,date,jornada,model_cum,bet365_cum,model_ret,bet365_ret,home,away,true_txt,model_txt,bet365_txt
1,2008-08-30,1,1.0,1.0,1.0,1.0,espanol,valladolid,Home,Home,Home
2,2008-08-30,1,1.7,1.7,0.7,0.7,valencia,mallorca,Home,Home,Home
3,2008-08-31,1,0.7,0.7,-1.0,-1.0,numancia,barcelona,Home,Draw,Away
4,2008-08-31,1,-0.3,-0.3,-1.0,-1.0,osasuna,villarreal,Draw,Away,Away
5,2008-08-31,1,-1.3,-1.3,-1.0,-1.0,santander,sevilla,Draw,Away,Away
6,2008-08-31,1,-2.3,0.32,-1.0,1.62,sp gijon,getafe,Away,Home,Away
7,2008-08-31,1,-3.3,-0.68,-1.0,-1.0,ath bilbao,almeria,Away,Home,Home
8,2008-08-31,1,-4.3,-0.24,-1.0,0.44,ath madrid,malaga,Home,Draw,Home
9,2008-08-31,1,-5.3,-1.24,-1.0,-1.0,betis,recreativo,Away,Draw,Home
10,2008-08-31,1,-6.3,-2.24,-1.0,-1.0,la coruna,real madrid,Home,Away,Away
11,2008-09-13,2,-7.3,-3.24,-1.0,-1.0,barcelona,santander,Draw,Home,Home
12,2008-09-13,2,-8.3,-4.24,-1.0,-1.0,valladolid,ath madrid,Home,Draw,Away
13,2008-09-14,2,-7.3,-3.24,1.0,1.0,villarreal,la coruna,Home,Home,Home
14,2008-09-14,2,-6.97,-2.91,0.33,0.33,sevilla,sp gijon,Home,Home,Home
15,2008-09-14,2,-7.97,-3.91,-1.0,-1.0,recreativo,espanol,Away,Home,Home
16,2008-09-14,2,-7.72,-3.66,0.25,0.25,real madrid,numancia,Home,Home,Home
17,2008-09-14,2,-8.72,-4.66,-1.0,-1.0,almeria,valencia,Draw,Home,Away
18,2008-09-14,2,-6.47,-5.66,2.25,-1.0,malaga,ath bilbao,Draw,Draw,Home
19,2008-09-14,2,-7.47,-6.66,-1.0,-1.0,getafe,betis,Draw,Home,Home
20,2008-09-14,2,-8.47,-7.66,-1.0,-1.0,mallorca,osasuna,Draw,Home,Home
21,2008-09-20,3,-7.97,-7.16,0.5,0.5,ath madrid,recreativo,Home,Home,Home
22,2008-09-20,3,-8.97,-8.16,-1.0,-1.0,espanol,getafe,Draw,Away,Home
23,2008-09-21,3,-7.87,-7.06,1.1,1.1,santander,real madrid,Away,Away,Away
24,2008-09-21,3,-6.87,-6.06,1.0,1.0,ath bilbao,valladolid,Home,Home,Home
25,2008-09-21,3,-5.57,-4.76,1.3,1.3,numancia,villarreal,Away,Away,Away
26,2008-09-21,3,-6.57,-5.76,-1.0,-1.0,betis,sevilla,Draw,Away,Away
