match_num,date,jornada,model_cum,bet365_cum,model_ret,bet365_ret,home,away,true_txt,model_txt,bet365_txt
1,2016-08-19,1,-1.0,0.95,-1.0,0.95,la coruna,eibar,Home,Draw,Home
2,2016-08-19,1,-2.0,-0.05,-1.0,-1.0,malaga,osasuna,Draw,Home,Home
3,2016-08-20,1,0.2,-1.05,2.2,-1.0,granada,villarreal,Draw,Draw,Home
4,2016-08-20,1,0.87,-0.38,0.67,0.67,sevilla,espanol,Home,Home,Home
5,2016-08-20,1,0.95,-0.3,0.08,0.08,barcelona,betis,Home,Home,Home
6,2016-08-21,1,1.7,0.45,0.75,0.75,sociedad,real madrid,Away,Away,Away
7,2016-08-21,1,0.7,-0.55,-1.0,-1.0,sp gijon,ath bilbao,Home,Draw,Away
8,2016-08-21,1,-0.3,-1.55,-1.0,-1.0,ath madrid,alaves,Draw,Home,Home
9,2016-08-22,1,-1.3,-2.55,-1.0,-1.0,celta,leganes,Away,Home,Home
10,2016-08-22,1,-2.3,-3.55,-1.0,-1.0,valencia,las palmas,Away,Draw,Home
11,2016-08-26,2,-0.2,-4.55,2.1,-1.0,espanol,malaga,Draw,Draw,Home
12,2016-08-26,2,2.0,-5.55,2.2,-1.0,betis,la coruna,Draw,Draw,Home
13,2016-08-27,2,1.0,-3.85,-1.0,1.7,eibar,valencia,Home,Draw,Home
14,2016-08-27,2,0.0,-4.85,-1.0,-1.0,leganes,ath madrid,Draw,Away,Away
15,2016-08-27,2,-1.0,-3.35,-1.0,1.5,osasuna,sociedad,Away,Draw,Away
16,2016-08-27,2,-0.82,-3.17,0.18,0.18,real madrid,celta,Home,Home,Home
17,2016-08-28,2,-1.82,-4.17,-1.0,-1.0,alaves,sp gijon,Draw,Away,Home
18,2016-08-28,2,-1.32,-3.67,0.5,0.5,ath bilbao,barcelona,Away,Away,Away
19,2016-08-28,2,-0.41,-2.76,0.91,0.91,las palmas,granada,Home,Home,Home
20,2016-08-28,2,-1.41,-3.76,-1.0,-1.0,villarreal,sevilla,Draw,Away,Home
21,2016-09-09,3,0.99,-4.76,2.4,-1.0,sociedad,espanol,Draw,Draw,Home
22,2016-09-10,3,-0.01,-5.76,-1.0,-1.0,malaga,villarreal,Away,Draw,Home
23,2016-09-10,3,0.03,-5.72,0.04,0.04,real madrid,osasuna,Home,Home,Home
24,2016-09-10,3,-0.97,-6.72,-1.0,-1.0,barcelona,alaves,Away,Home,Home
25,2016-09-10,3,-1.97,-6.22,-1.0,0.5,sevilla,las palmas,Home,Draw,Home
26,2016-09-10,3,-1.24,-5.49,0.73,0.73,celta,ath madrid,Away,Away,Away
27,2016-09-11,3,-2.24,-6.49,-1.0,-1.0,granada,eibar,Away,Draw,Home
28,2016-09-11,3,-3.24,-5.34,-1.0,1.15,la coruna,ath bilbao,Away,Draw,Away
29,2016-09-11,3,-4.24,-4.09,-1.0,1.25,sp gijon,leganes,Home,Away,Home
30,2016-09-11,3,-5.24,-5.09,-1.0,-1.0,valencia,betis,Away,Draw,Home
31,2016-09-16,4,-2.49,-6.09,2.75,-1.0,betis,granada,Draw,Draw,Home
32,2016-09-17,4,-2.31,-5.91,0.18,0.18,leganes,barcelona,Away,Away,Away
33,2016-09-17,4,-1.01,-4.61,1.3,1.3,las palmas,malaga,Home,Home,Home
34,2016-09-17,4,-0.83,-4.43,0.18,0.18,ath madrid,sp gijon,Home,Home,Home
35,2016-09-17,4,-1.83,-5.43,-1.0,-1.0,eibar,sevilla,Draw,Away,Away
36,2016-09-18,4,-0.98,-4.58,0.85,0.85,ath bilbao,valencia,Home,Home,Home
37,2016-09-18,4,-0.62,-4.22,0.36,0.36,espanol,real madrid,Away,Away,Away
38,2016-09-18,4,1.48,-5.22,2.1,-1.0,osasuna,celta,Draw,Draw,Away
39,2016-09-18,4,2.33,-4.37,0.85,0.85,villarreal,sociedad,Home,Home,Home
40,2016-09-19,4,1.33,-5.37,-1.0,-1.0,alaves,la coruna,Draw,Away,Home
41,2016-09-20,5,0.33,-4.52,-1.0,0.85,malaga,eibar,Home,Draw,Home
42,2016-09-20,5,0.78,-4.07,0.45,0.45,sevilla,betis,Home,Home,Home
43,2016-09-21,5,-0.22,-5.07,-1.0,-1.0,real madrid,villarreal,Draw,Home,Home
44,2016-09-21,5,-1.22,-4.22,-1.0,0.85,granada,ath bilbao,Away,Draw,Away
45,2016-09-21,5,-2.22,-3.22,-1.0,1.0,sociedad,las palmas,Home,Draw,Home
46,2016-09-21,5,-3.22,-4.22,-1.0,-1.0,barcelona,ath madrid,Draw,Home,Home
47,2016-09-21,5,-4.22,-3.65,-1.0,0.57,celta,sp gijon,Home,Draw,Home
48,2016-09-22,5,-5.22,-2.05,-1.0,1.6,osasuna,espanol,Away,Draw,Away
49,2016-09-22,5,-4.65,-1.48,0.57,0.57,valencia,alaves,Home,Home,Home
50,2016-09-22,5,-5.65,-2.48,-1.0,-1.0,la coruna,leganes,Away,Draw,Home
51,2016-09-23,6,-6.65,-0.88,-1.0,1.6,betis,malaga,Home,Draw,Home
52,2016-09-24,6,-7.65,0.17,-1.0,1.05,ath bilbao,sevilla,Home,Draw,Home
