test_season,train_until,n_matches,profit_model,profit_bet365,roi_model,roi_bet365,csv_file,json_file
2007,2006,380,-13.47,-13.19,-0.03544736842105263,-0.03471052631578947,cumprofit_2007.csv,cumprofit_2007.json
2008,2007,380,39.41,30.05,0.10371052631578946,0.07907894736842105,cumprofit_2008.csv,cumprofit_2008.json
2009,2008,380,4.35,16.28,0.011447368421052631,0.0428421052631579,cumprofit_2009.csv,cumprofit_2009.json
2010,2009,380,50.52,34.36,0.13294736842105265,0.09042105263157894,cumprofit_2010.csv,cumprofit_2010.json
2011,2010,380,-5.84,-30.06,-0.015368421052631578,-0.07910526315789473,cumprofit_2011.csv,cumprofit_2011.json
2012,2011,380,-15.32,-14.2,-0.040315789473684215,-0.03736842105263158,cumprofit_2012.csv,cumprofit_2012.json
2013,2012,380,-22.46,-37.66,-0.05910526315789474,-0.09910526315789472,cumprofit_2013.csv,cumprofit_2013.json
2014,2013,380,-1.95,-22.84,-0.005131578947368421,-0.06010526315789474,cumprofit_2014.csv,cumprofit_2014.json
2015,2014,380,-7.21,-23.78,-0.018973684210526316,-0.06257894736842105,cumprofit_2015.csv,cumprofit_2015.json
2016,2015,380,22.57,0.22,0.059394736842105264,0.0005789473684210527,cumprofit_2016.csv,cumprofit_2016.json
2017,2016,380,27.1,-10.9,0.07131578947368421,-0.02868421052631579,cumprofit_2017.csv,cumprofit_2017.json
2018,2017,380,-35.53,-48.3,-0.0935,-0.12710526315789472,cumprofit_2018.csv,cumprofit_2018.json
2019,2018,380,-21.69,-23.29,-0.057078947368421055,-0.061289473684210526,cumprofit_2019.csv,cumprofit_2019.json
2020,2019,380,23.81,-7.36,0.0626578947368421,-0.01936842105263158,cumprofit_2020.csv,cumprofit_2020.json
2021,2020,380,1.53,-17.15,0.004026315789473684,-0.04513157894736842,cumprofit_2021.csv,cumprofit_2021.json
2022,2021,380,14.53,6.93,0.03823684210526316,0.018236842105263155,cumprofit_2022.csv,cumprofit_2022.json
2023,2022,380,15.89,8.28,0.04181578947368421,0.021789473684210525,cumprofit_2023.csv,cumprofit_2023.json
2024,2023,380,33.1,-6.84,0.08710526315789474,-0.018,cumprofit_2024.csv,cumprofit_2024.json
2025,2024,58,-14.5,-3.67,-0.25,-0.06327586206896552,cumprofit_2025.csv,cumprofit_2025.json
