model,train_until,test_season,n_pred_bets,roi_pred,profit_pred,n_value_bets,roi_value,profit_value,min_edge_pred,min_edge_value,n_test
base,2006,2007,380,-0.039657894736842114,-15.070000000000004,380,-0.006078947368421053,-2.31,0.0,0.0,380
base,2007,2008,380,-0.006657894736842095,-2.5299999999999963,380,-0.08636842105263158,-32.82,0.0,0.0,380
base,2008,2009,380,-0.02076315789473683,-7.889999999999996,380,-0.07521052631578946,-28.58,0.0,0.0,380
base,2009,2010,380,0.0786842105263158,29.900000000000006,380,-0.01281578947368421,-4.869999999999999,0.0,0.0,380
base,2010,2011,380,0.03810526315789476,14.480000000000008,380,0.07492105263157894,28.47,0.0,0.0,380
base,2011,2012,380,-0.06994736842105263,-26.58,380,-0.04757894736842105,-18.08,0.0,0.0,380
base,2012,2013,380,-0.09457894736842104,-35.94,380,-0.053105263157894746,-20.180000000000003,0.0,0.0,380
base,2013,2014,380,-0.049157894736842095,-18.679999999999996,380,-0.2438421052631579,-92.66,0.0,0.0,380
base,2014,2015,380,-0.022131578947368415,-8.409999999999998,380,-0.10368421052631578,-39.4,0.0,0.0,380
base,2015,2016,380,-0.03684210526315791,-14.000000000000005,380,-0.10618421052631577,-40.349999999999994,0.0,0.0,380
base,2016,2017,380,-0.013815789473684184,-5.24999999999999,380,0.08360526315789475,31.770000000000003,0.0,0.0,380
base,2017,2018,380,-0.09176315789473684,-34.87,380,-0.09307894736842103,-35.36999999999999,0.0,0.0,380
base,2018,2019,380,-0.12026315789473681,-45.69999999999999,380,-0.1262894736842105,-47.989999999999995,0.0,0.0,380
base,2019,2020,380,0.019815789473684224,7.530000000000005,380,-0.038578947368421046,-14.659999999999997,0.0,0.0,380
base,2020,2021,380,-0.03597368421052631,-13.669999999999998,380,-0.14710526315789474,-55.900000000000006,0.0,0.0,380
base,2021,2022,380,0.023184210526315797,8.810000000000002,380,0.06044736842105264,22.970000000000002,0.0,0.0,380
base,2022,2023,380,0.03205263157894737,12.18,380,-0.09507894736842105,-36.13,0.0,0.0,380
base,2023,2024,380,0.0748157894736842,28.429999999999993,380,-0.09436842105263157,-35.86,0.0,0.0,380
base,2024,2025,60,-0.21450000000000002,-12.870000000000001,60,-0.056333333333333346,-3.380000000000001,0.0,0.0,60
