model,train_until,test_season,n_pred_bets,roi_pred,profit_pred,n_value_bets,roi_value,profit_value,min_edge_pred,min_edge_value,n_test
smote,2006,2007,380,-0.11126315789473684,-42.28,380,-0.019421052631578943,-7.379999999999999,0.0,0.0,380
smote,2007,2008,380,-0.042868421052631576,-16.29,380,-0.06294736842105264,-23.92,0.0,0.0,380
smote,2008,2009,380,0.04573684210526315,17.38,380,-0.13807894736842105,-52.47,0.0,0.0,380
smote,2009,2010,380,-0.01886842105263158,-7.17,380,-0.14360526315789474,-54.57,0.0,0.0,380
smote,2010,2011,380,0.012500000000000018,4.750000000000007,380,0.045736842105263166,17.380000000000003,0.0,0.0,380
smote,2011,2012,380,-0.012342105263157908,-4.690000000000005,380,-0.13723684210526313,-52.14999999999999,0.0,0.0,380
smote,2012,2013,380,-0.04394736842105263,-16.7,380,-0.048342105263157895,-18.37,0.0,0.0,380
smote,2013,2014,380,-0.08023684210526318,-30.490000000000006,380,-0.21044736842105263,-79.97,0.0,0.0,380
smote,2014,2015,380,-0.08052631578947368,-30.599999999999998,380,-0.10957894736842104,-41.63999999999999,0.0,0.0,380
smote,2015,2016,380,-0.07026315789473685,-26.7,380,-0.05839473684210526,-22.19,0.0,0.0,380
smote,2016,2017,380,-0.022421052631578946,-8.52,380,-0.013447368421052621,-5.109999999999996,0.0,0.0,380
smote,2017,2018,380,-0.10539473684210528,-40.050000000000004,380,-0.019263157894736833,-7.319999999999997,0.0,0.0,380
smote,2018,2019,380,-0.1256842105263158,-47.76,380,-0.18097368421052631,-68.77,0.0,0.0,380
smote,2019,2020,380,0.05744736842105263,21.83,380,0.04265789473684212,16.210000000000004,0.0,0.0,380
smote,2020,2021,380,0.01326315789473685,5.040000000000003,380,-0.08626315789473685,-32.78,0.0,0.0,380
smote,2021,2022,380,-0.10271052631578947,-39.03,380,-0.11510526315789472,-43.739999999999995,0.0,0.0,380
smote,2022,2023,380,0.07923684210526316,30.11,380,-0.05676315789473682,-21.569999999999993,0.0,0.0,380
smote,2023,2024,380,0.06736842105263159,25.600000000000005,380,-0.12047368421052632,-45.78,0.0,0.0,380
smote,2024,2025,58,-0.034482758620689655,-2.0,58,0.16862068965517243,9.780000000000001,0.0,0.0,58
