Season,Matchday,Date,HomeTeam_norm,AwayTeam_norm,pred_key,y_true,y_pred,proba_H,proba_D,proba_A,conf_maxprob,entropy,margin_top12,B365H,B365D,B365A,overround,pH_mkt,pD_mkt,pA_mkt,odds_pick,p_pick,ev_pick,kelly_pick,bet_placed,correct,profit,cum_profit_season
2021,1,2021-08-13,valencia,getafe,<NA>#4180,H,D,0.31420659425059994,0.39673013020802517,0.2890632755413749,0.39673013020802517,1.089294244376115,0.08252353595742523,2.55,3.0,3.1,1.0480708412397217,0.3741701870850936,0.3180446590223295,0.30778515389257693,3.0,0.39673013020802517,0.1901903906240755,0.09509519531203775,1,0,-1.0,-1.0
2021,1,2021-08-14,alaves,real madrid,<NA>#4181,A,A,0.1484219646659101,0.24072702793738698,0.6108510073967028,0.6108510073967028,0.927051136978484,0.37012397945931585,7.0,4.75,1.44,1.0478279030910609,0.13633645604943193,0.20091688259916285,0.6627466613514053,1.44,0.6108510073967028,-0.12037454934874797,0.0,1,1,0.43999999999999995,-0.56
2021,1,2021-08-14,cadiz,levante,<NA>#4183,D,D,0.26736964477306563,0.3896993746193481,0.34293098060758626,0.3896993746193481,1.0869519314361518,0.04676839401176186,2.8,3.25,2.6,1.0494505494505495,0.3403141361256544,0.2931937172774869,0.3664921465968586,3.25,0.3896993746193481,0.2665229675128814,0.1184546522279473,1,1,2.25,1.69
2021,1,2021-08-14,mallorca,betis,<NA>#4184,D,A,0.2640608866149896,0.30229696007983814,0.43364215330517225,0.43364215330517225,1.0755920775461119,0.1313451932253341,3.3,3.4,2.2,1.0516934046345812,0.288135593220339,0.2796610169491525,0.43220338983050843,2.2,0.43364215330517225,-0.04598726272862108,0.0,1,0,-1.0,0.69
2021,1,2021-08-14,osasuna,espanol,<NA>#4182,D,D,0.32681062004533074,0.4137243025928439,0.25946507736182534,0.4137243025928439,1.0806842210589536,0.08691368254751314,2.25,3.2,3.4,1.051062091503268,0.42285270112708895,0.29731830547998445,0.27982899339292655,3.2,0.4137243025928439,0.3239177682971005,0.14723534922595477,1,1,2.2,2.89
2021,1,2021-08-15,barcelona,sociedad,<NA>#4185,H,H,0.5229686420511211,0.28565221141309094,0.19137914653578786,0.5229686420511211,1.0133676978299413,0.2373164306380302,4.2,3.4,1.9,1.0585286746277458,0.22493036211699163,0.27785515320334264,0.4972144846796657,4.2,0.5229686420511211,1.196468296614709,0.3738963426920966,1,1,3.2,6.09
2021,1,2021-08-15,celta,ath madrid,<NA>#4186,A,A,0.19829971761286103,0.34903683137464586,0.4526634510124931,0.4526634510124931,1.0470164796746535,0.10362661963784725,1.72,4.0,4.5,1.0536175710594315,0.5518087063151441,0.23727774371551194,0.21091354996934394,4.5,0.4526634510124931,1.0369855295562191,0.29628157987320547,1,1,3.5,9.59
2021,1,2021-08-15,sevilla,vallecano,<NA>#4187,H,H,0.5766158309676104,0.27788036761518065,0.14550380141720895,0.5766158309676104,0.9537826474049418,0.29873546335242973,1.44,4.2,8.0,1.0575396825396826,0.6566604127579737,0.225140712945591,0.11819887429643527,1.44,0.5766158309676104,-0.1696732034066411,0.0,1,1,0.43999999999999995,10.030000000000001
2021,1,2021-08-16,elche,ath bilbao,<NA>#4189,D,A,0.19394871578975642,0.37373443247886057,0.432316851731383,0.432316851731383,1.048479713229799,0.058582419252522444,3.8,3.3,2.05,1.0539930758159257,0.24967706218859564,0.28750692009595863,0.46281601771544567,2.05,0.432316851731383,-0.11375045395066491,0.0,1,0,-1.0,9.030000000000001
2021,1,2021-08-16,villarreal,granada,<NA>#4188,D,H,0.5749375157227821,0.26225912158922976,0.16280336268798817,0.5749375157227821,0.9647605039501479,0.3126783941335523,1.53,4.2,6.5,1.0455361631832218,0.6251288040118157,0.22772549289001856,0.14714570309816585,1.53,0.5749375157227821,-0.12034560094414343,0.0,1,0,-1.0,8.030000000000001
