Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,true_result,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return,net_profit,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin
2009-08-29,2009,real madrid,la coruna,1.25,5.5,13.0,2,2,H,0.8558784406955477,1.25,0.0698480508694348,H,0.0698480508694348,0.8558784406955477,1.25,True,1.25,0.25,1.25,0.25,✓,✓,≥5%,≥5%
2009-08-29,2009,zaragoza,tenerife,1.91,3.4,4.2,2,0,A,0.5540783779168102,4.2,1.3271291872506032,A,1.3271291872506032,0.5540783779168102,4.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-08-30,2009,almeria,valladolid,2.1,3.3,3.5,1,1,D,0.4073987272685299,3.3,0.3444157999861486,D,0.3444157999861486,0.4073987272685299,3.3,True,3.3,2.3,3.3,2.3,✓,✓,≥5%,≥5%
2009-08-30,2009,valencia,sevilla,2.25,3.3,3.2,2,2,H,0.5718811870053956,2.25,0.28673267076214004,H,0.28673267076214004,0.5718811870053956,2.25,True,2.25,1.25,2.25,1.25,✓,✓,≥5%,≥5%
2009-08-30,2009,mallorca,xerez,1.91,3.4,4.33,2,0,A,0.5827015412772628,4.33,1.5230976737305482,A,1.5230976737305482,0.5827015412772628,4.33,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-08-30,2009,ath bilbao,espanol,2.1,3.3,3.5,2,2,H,0.46613747643756925,2.1,-0.021111299481104573,A,0.04339193667843633,0.29811198190812466,3.5,True,2.1,1.1,0.0,-1.0,✓,✗,<0%,2–5%
2009-08-30,2009,malaga,ath madrid,3.4,3.4,2.1,2,0,A,0.4810119166291019,2.1,0.010125024921114001,H,0.060730500115110164,0.3119795588573853,3.4,True,0.0,-1.0,3.4,2.4,✗,✓,0–2%,≥5%
2009-08-30,2009,santander,getafe,2.15,3.3,3.4,0,2,H,0.39148309686604926,2.15,-0.1583113417379941,D,0.1610226590352437,0.3518250481924981,3.3,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2009-08-30,2009,osasuna,villarreal,2.88,3.2,2.5,1,1,D,0.5004665786541297,3.2,0.6014930516932151,D,0.6014930516932151,0.5004665786541297,3.2,True,3.2,2.2,3.2,2.2,✓,✓,≥5%,≥5%
2009-08-31,2009,barcelona,sp gijon,1.17,8.0,13.0,2,2,H,0.8639070895027562,1.17,0.010771294718224578,H,0.010771294718224578,0.8639070895027562,1.17,True,1.17,0.16999999999999993,1.17,0.16999999999999993,✓,✓,0–2%,0–2%
2009-09-12,2009,ath madrid,santander,1.44,4.33,7.0,1,2,H,0.7610497752867952,1.44,0.09591167641298504,H,0.09591167641298504,0.7610497752867952,1.44,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-09-12,2009,espanol,real madrid,6.0,3.8,1.57,0,0,A,0.7860366424843905,1.57,0.23407752870049325,A,0.23407752870049325,0.7860366424843905,1.57,True,1.57,0.5700000000000001,1.57,0.5700000000000001,✓,✓,≥5%,≥5%
2009-09-12,2009,getafe,barcelona,6.5,4.2,1.5,0,0,A,0.740573770215179,1.5,0.11086065532276845,A,0.11086065532276845,0.740573770215179,1.5,True,1.5,0.5,1.5,0.5,✓,✓,≥5%,≥5%
2009-09-12,2009,sevilla,zaragoza,1.57,3.8,6.0,2,2,H,0.6855028933303684,1.57,0.07623954252867837,H,0.07623954252867837,0.6855028933303684,1.57,True,1.57,0.5700000000000001,1.57,0.5700000000000001,✓,✓,≥5%,≥5%
2009-09-13,2009,sp gijon,almeria,2.38,3.25,3.0,2,2,H,0.3957513897128927,2.38,-0.05811169248331538,A,-0.010782139273129987,0.32973928690895665,3.0,True,2.38,1.38,0.0,-1.0,✓,✗,<0%,<0%
2009-09-13,2009,la coruna,malaga,1.83,3.5,4.33,2,2,H,0.6956186399303987,1.83,0.2729821110726298,H,0.2729821110726298,0.6956186399303987,1.83,True,1.83,0.8300000000000001,1.83,0.8300000000000001,✓,✓,≥5%,≥5%
2009-09-13,2009,tenerife,osasuna,2.38,3.25,3.0,2,2,H,0.5672986725625184,2.38,0.3501708406987938,H,0.3501708406987938,0.5672986725625184,2.38,True,2.38,1.38,2.38,1.38,✓,✓,≥5%,≥5%
2009-09-13,2009,valladolid,valencia,3.4,3.4,2.1,0,1,D,0.5512016702157435,3.4,0.8740856787335278,D,0.8740856787335278,0.5512016702157435,3.4,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-09-13,2009,xerez,ath bilbao,2.75,3.2,2.63,0,1,D,0.6521800707490887,3.2,1.0869762263970837,D,1.0869762263970837,0.6521800707490887,3.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-09-13,2009,villarreal,mallorca,1.57,3.8,6.0,1,2,H,0.6851895866312138,1.57,0.07574765101100556,H,0.07574765101100556,0.6851895866312138,1.57,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-09-19,2009,barcelona,ath madrid,1.33,5.0,8.5,2,2,H,0.7422067163519185,1.33,-0.012865067251948359,H,-0.012865067251948359,0.7422067163519185,1.33,True,1.33,0.33000000000000007,1.33,0.33000000000000007,✓,✓,<0%,<0%
2009-09-19,2009,la coruna,espanol,1.95,3.4,3.8,0,2,H,0.4168534622447902,1.95,-0.18713574862265914,A,0.3490267980098256,0.3550070521078489,3.8,True,0.0,-1.0,3.8,2.8,✗,✓,<0%,≥5%
2009-09-19,2009,malaga,santander,2.05,3.3,3.6,0,2,H,0.4621653249608482,2.05,-0.05256108383026126,D,0.016240614189787728,0.30795170126963267,3.3,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,0–2%
2009-09-19,2009,mallorca,tenerife,2.0,3.4,3.6,2,2,H,0.4683439929809269,2.0,-0.06331201403814624,A,0.1147429017385635,0.3096508060384899,3.6,True,2.0,1.0,0.0,-1.0,✓,✗,<0%,≥5%
2009-09-19,2009,osasuna,sevilla,3.25,3.25,2.25,0,0,A,0.5297156662417986,2.25,0.19186024904404686,A,0.19186024904404686,0.5297156662417986,2.25,True,2.25,1.25,2.25,1.25,✓,✓,≥5%,≥5%
2009-09-20,2009,almeria,getafe,2.5,3.25,2.8,2,2,H,0.3831668627491843,2.5,-0.04208284312703925,A,0.06629302617705846,0.3808189379203781,2.8,True,2.5,1.5,0.0,-1.0,✓,✗,<0%,≥5%
2009-09-20,2009,ath bilbao,villarreal,2.63,3.25,2.63,2,1,D,0.49827846785218755,3.25,0.6194050205196096,D,0.6194050205196096,0.49827846785218755,3.25,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-09-20,2009,real madrid,xerez,1.13,8.0,21.0,2,2,H,0.9374366191928132,1.13,0.0593033796878788,A,0.09051161339176717,0.05192912444722701,21.0,True,1.13,0.1299999999999999,0.0,-1.0,✓,✗,≥5%,≥5%
2009-09-20,2009,valencia,sp gijon,1.29,5.25,10.0,1,2,H,0.8469386491356157,1.29,0.09255085738494429,H,0.09255085738494429,0.8469386491356157,1.29,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-09-20,2009,zaragoza,valladolid,2.1,3.3,3.5,0,1,D,0.40004701390240577,3.3,0.32015514587793903,D,0.32015514587793903,0.40004701390240577,3.3,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-09-22,2009,santander,barcelona,10.0,5.0,1.3,0,0,A,0.7920727106971527,1.3,0.029694523906298453,A,0.029694523906298453,0.7920727106971527,1.3,True,1.3,0.30000000000000004,1.3,0.30000000000000004,✓,✓,2–5%,2–5%
2009-09-22,2009,sevilla,mallorca,1.44,4.2,7.5,2,2,H,0.7619928750046008,1.44,0.09726974000662514,A,0.30067389659361443,0.17342318621248193,7.5,True,1.44,0.43999999999999995,0.0,-1.0,✓,✗,≥5%,≥5%
2009-09-23,2009,xerez,la coruna,2.88,3.25,2.45,0,1,D,0.4498535019019678,3.25,0.4620238811813955,D,0.4620238811813955,0.4498535019019678,3.25,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-09-23,2009,ath madrid,almeria,1.44,4.33,7.0,1,2,H,0.79061709381678,1.44,0.13848861509616328,H,0.13848861509616328,0.79061709381678,1.44,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-09-23,2009,getafe,valencia,3.0,3.3,2.35,2,1,D,0.4519658519037426,3.3,0.49148731128235057,D,0.49148731128235057,0.4519658519037426,3.3,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2009-09-23,2009,tenerife,ath bilbao,2.6,3.25,2.7,2,1,D,0.48094987790461435,3.25,0.5630871031899967,D,0.5630871031899967,0.48094987790461435,3.25,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
