Season,Date,jornada,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,true_result,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return,net_profit,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin
2010,2010-08-28,1,malaga,valencia,2.88,3.3,2.4,0,0,A,0.40767372294594034,2.4,-0.021583064929743268,A,-0.021583064929743268,0.40767372294594034,2.4,True,2.4,1.4,2.4,1.4,✓,✓,<0%,<0%
2010,2010-08-28,1,hercules,ath bilbao,2.5,3.25,2.8,0,2,H,0.609843849612788,2.5,0.52460962403197,H,0.52460962403197,0.609843849612788,2.5,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-08-28,1,levante,sevilla,3.6,3.5,2.0,0,0,A,0.4817018228434509,2.0,-0.036596354313098156,H,0.20197474837839424,0.3338818745495539,3.6,True,2.0,1.0,0.0,-1.0,✓,✗,<0%,≥5%
2010,2010-08-29,1,espanol,getafe,2.1,3.3,3.5,2,2,H,0.4868514532070153,2.1,0.02238805173473213,H,0.02238805173473213,0.4868514532070153,2.1,True,2.1,1.1,2.1,1.1,✓,✓,2–5%,2–5%
2010,2010-08-29,1,la coruna,zaragoza,2.1,3.3,3.5,1,2,H,0.6025410076311698,2.1,0.2653361160254566,H,0.2653361160254566,0.6025410076311698,2.1,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-08-29,1,mallorca,real madrid,8.0,4.75,1.36,1,0,A,0.6291791057936,1.36,-0.1443164161207039,H,0.8805137092701791,0.2350642136587724,8.0,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2010,2010-08-29,1,osasuna,almeria,2.0,3.4,3.75,1,2,H,0.5668192506004677,2.0,0.13363850120093534,H,0.13363850120093534,0.5668192506004677,2.0,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-08-29,1,santander,barcelona,15.0,6.0,1.2,0,0,A,0.6297339816466608,1.2,-0.24431922202400702,H,0.6426748129543876,0.10951165419695917,15.0,True,1.2,0.19999999999999996,0.0,-1.0,✓,✗,<0%,≥5%
2010,2010-08-29,1,sociedad,villarreal,3.0,3.25,2.38,2,1,D,0.38135350814223545,3.25,0.23939890146226528,D,0.23939890146226528,0.38135350814223545,3.25,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-08-30,1,ath madrid,sp gijon,1.53,4.0,6.0,2,2,H,0.6851383162091709,1.53,0.04826162380003152,H,0.04826162380003152,0.6851383162091709,1.53,True,1.53,0.53,1.53,0.53,✓,✓,2–5%,2–5%
2010,2010-09-11,2,ath bilbao,ath madrid,3.0,3.25,2.38,0,2,H,0.436759458611722,3.0,0.31027837583516593,H,0.31027837583516593,0.436759458611722,3.0,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-09-11,2,barcelona,hercules,1.06,11.0,34.0,0,2,H,0.9510688323546986,1.06,0.008132962295980706,H,0.008132962295980706,0.9510688323546986,1.06,True,0.0,-1.0,0.0,-1.0,✗,✗,0–2%,0–2%
2010,2010-09-11,2,real madrid,osasuna,1.17,6.5,17.0,2,2,H,0.9270941179601537,1.17,0.08470011801337973,H,0.08470011801337973,0.9270941179601537,1.17,True,1.17,0.16999999999999993,1.17,0.16999999999999993,✓,✓,≥5%,≥5%
2010,2010-09-11,2,valencia,santander,1.44,4.33,7.0,2,2,H,0.6785920508744218,1.44,-0.022827446740832702,D,0.028096130889259774,0.2374355960483279,4.33,True,1.44,0.43999999999999995,0.0,-1.0,✓,✗,<0%,2–5%
2010,2010-09-12,2,sp gijon,mallorca,2.4,3.3,2.9,2,0,A,0.46371822735310286,2.9,0.3447828593239983,A,0.3447828593239983,0.46371822735310286,2.9,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-09-12,2,zaragoza,malaga,1.91,3.4,4.0,0,0,A,0.47491423604195365,4.0,0.8996569441678146,A,0.8996569441678146,0.47491423604195365,4.0,True,4.0,3.0,4.0,3.0,✓,✓,≥5%,≥5%
2010,2010-09-12,2,villarreal,espanol,1.8,3.5,4.5,2,2,H,0.6147175917204747,1.8,0.10649166509685437,H,0.10649166509685437,0.6147175917204747,1.8,True,1.8,0.8,1.8,0.8,✓,✓,≥5%,≥5%
2010,2010-09-12,2,sevilla,la coruna,1.5,4.0,7.0,1,2,H,0.7524675821555347,1.5,0.128701373233302,A,0.294042796907219,0.1848632567010313,7.0,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-09-12,2,getafe,levante,1.57,3.8,6.0,2,2,H,0.534387745707447,1.57,-0.16101123923930827,D,0.1950440975100063,0.31448528881842275,3.8,True,1.57,0.5700000000000001,0.0,-1.0,✓,✗,<0%,≥5%
2010,2010-09-13,2,almeria,sociedad,2.2,3.25,3.3,1,2,H,0.6108007325876231,2.2,0.3437616116927711,H,0.3437616116927711,0.6108007325876231,2.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-09-18,3,espanol,almeria,2.0,3.3,3.75,2,2,H,0.4802616792809977,2.0,-0.039476641438004556,A,0.338112733638652,0.35683006230364056,3.75,True,2.0,1.0,0.0,-1.0,✓,✗,<0%,≥5%
2010,2010-09-18,3,mallorca,osasuna,1.91,3.4,4.0,2,2,H,0.54543701568297,1.91,0.04178469995447265,H,0.04178469995447265,0.54543701568297,1.91,True,1.91,0.9099999999999999,1.91,0.9099999999999999,✓,✓,2–5%,2–5%
2010,2010-09-18,3,sociedad,real madrid,8.5,4.6,1.36,0,0,A,0.7771183390659646,1.36,0.05688094112971198,A,0.05688094112971198,0.7771183390659646,1.36,True,1.36,0.3600000000000001,1.36,0.3600000000000001,✓,✓,≥5%,≥5%
2010,2010-09-18,3,sp gijon,ath bilbao,2.4,3.25,2.9,1,2,H,0.4038168682841514,2.4,-0.030839516118036592,H,-0.030839516118036592,0.4038168682841514,2.4,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,<0%
2010,2010-09-19,3,ath madrid,barcelona,5.0,3.75,1.67,0,0,A,0.6664391334400631,1.67,0.11295335284490537,H,0.11896741328667004,0.223793482657334,5.0,True,1.67,0.6699999999999999,0.0,-1.0,✓,✗,≥5%,≥5%
2010,2010-09-19,3,hercules,valencia,3.5,3.2,2.15,0,0,A,0.601168466316024,2.15,0.29251220257945176,A,0.29251220257945176,0.601168466316024,2.15,True,2.15,1.15,2.15,1.15,✓,✓,≥5%,≥5%
2010,2010-09-19,3,levante,villarreal,3.75,3.3,2.0,0,0,A,0.47926432137970765,2.0,-0.041471357240584705,D,-0.003049190199550411,0.30210630600013627,3.3,True,2.0,1.0,0.0,-1.0,✓,✗,<0%,<0%
2010,2010-09-19,3,malaga,sevilla,3.25,3.25,2.2,0,0,A,0.6253777374661785,2.2,0.37583102242559296,A,0.37583102242559296,0.6253777374661785,2.2,True,2.2,1.2000000000000002,2.2,1.2000000000000002,✓,✓,≥5%,≥5%
2010,2010-09-19,3,santander,zaragoza,2.25,3.2,3.25,2,1,D,0.3507087501559776,3.2,0.12226800049912834,D,0.12226800049912834,0.3507087501559776,3.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-09-20,3,la coruna,getafe,2.25,3.2,3.25,1,2,H,0.49246196874264275,2.25,0.10803942967094615,A,0.3718141620962545,0.42209666526038603,3.25,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-09-21,4,ath bilbao,mallorca,1.91,3.4,4.0,2,2,H,0.5598776241638179,1.91,0.0693662621528921,H,0.0693662621528921,0.5598776241638179,1.91,True,1.91,0.9099999999999999,1.91,0.9099999999999999,✓,✓,≥5%,≥5%
2010,2010-09-21,4,osasuna,sociedad,2.1,3.25,3.6,2,1,D,0.45041054882759946,3.25,0.46383428368969826,D,0.46383428368969826,0.45041054882759946,3.25,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-09-21,4,real madrid,espanol,1.17,7.0,15.0,2,2,H,0.9473643249507279,1.17,0.10841626019235151,H,0.10841626019235151,0.9473643249507279,1.17,True,1.17,0.16999999999999993,1.17,0.16999999999999993,✓,✓,≥5%,≥5%
2010,2010-09-22,4,almeria,levante,1.75,3.5,4.75,0,2,H,0.41485873634824794,1.75,-0.2739972113905661,D,0.2298600729058069,0.351388592258802,3.5,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2010,2010-09-22,4,barcelona,sp gijon,1.14,7.0,21.0,2,2,H,0.9056498468270133,1.14,0.032440825382795024,H,0.032440825382795024,0.9056498468270133,1.14,True,1.14,0.1399999999999999,1.14,0.1399999999999999,✓,✓,2–5%,2–5%
2010,2010-09-22,4,valencia,ath madrid,2.1,3.25,3.5,1,2,H,0.6238688612090446,2.1,0.3101246085389937,H,0.3101246085389937,0.6238688612090446,2.1,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-09-22,4,zaragoza,hercules,1.95,3.3,4.0,1,2,H,0.4164720824258798,1.95,-0.18787943926953443,A,0.6638580081841094,0.41596450204602736,4.0,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2010,2010-09-23,4,getafe,malaga,1.8,3.4,4.75,0,2,H,0.5434717327002327,1.8,-0.021750881139581013,H,-0.021750881139581013,0.5434717327002327,1.8,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,<0%
2010,2010-09-23,4,sevilla,santander,1.5,4.0,7.0,1,2,H,0.6819220489397727,1.5,0.022883073409659005,A,0.29617357621573914,0.1851676537451056,7.0,True,0.0,-1.0,0.0,-1.0,✗,✗,2–5%,≥5%
2010,2010-09-23,4,villarreal,la coruna,1.67,3.75,5.0,2,2,H,0.617022007946871,1.67,0.03042675327127453,A,0.17580318773724168,0.23516063754744834,5.0,True,1.67,0.6699999999999999,0.0,-1.0,✓,✗,2–5%,≥5%
2010,2010-09-25,5,ath bilbao,barcelona,6.0,3.8,1.57,0,0,A,0.5524613951325767,1.57,-0.1326356096418545,D,0.10435819751416231,0.29062057829320065,3.8,True,1.57,0.5700000000000001,0.0,-1.0,✓,✗,<0%,≥5%
2010,2010-09-25,5,levante,real madrid,12.0,5.5,1.25,1,0,A,0.8924505852833406,1.25,0.1155632316041757,A,0.1155632316041757,0.8924505852833406,1.25,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-09-25,5,sp gijon,valencia,3.25,3.3,2.2,0,0,A,0.49073211714806386,2.2,0.0796106577257405,A,0.0796106577257405,0.49073211714806386,2.2,True,2.2,1.2000000000000002,2.2,1.2000000000000002,✓,✓,≥5%,≥5%
2010,2010-09-26,5,hercules,sevilla,3.5,3.3,2.1,2,0,A,0.523561841105435,2.1,0.09947986632141359,A,0.09947986632141359,0.523561841105435,2.1,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-09-26,5,ath madrid,zaragoza,1.53,4.0,6.0,2,2,H,0.5737720426961931,1.53,-0.12212877467482453,A,0.41833268556423864,0.23638878092737312,6.0,True,1.53,0.53,0.0,-1.0,✓,✗,<0%,≥5%
2010,2010-09-26,5,espanol,osasuna,2.2,3.3,3.25,2,2,H,0.4791713971558162,2.2,0.05417707374279579,H,0.05417707374279579,0.4791713971558162,2.2,True,2.2,1.2000000000000002,2.2,1.2000000000000002,✓,✓,≥5%,≥5%
2010,2010-09-26,5,mallorca,sociedad,2.05,3.3,3.6,2,2,H,0.6145206057220292,2.05,0.25976724173015975,H,0.25976724173015975,0.6145206057220292,2.05,True,2.05,1.0499999999999998,2.05,1.0499999999999998,✓,✓,≥5%,≥5%
2010,2010-09-26,5,santander,getafe,2.4,3.3,2.9,0,0,A,0.3781612223614967,2.9,0.09666754484834028,A,0.09666754484834028,0.3781612223614967,2.9,True,2.9,1.9,2.9,1.9,✓,✓,≥5%,≥5%
2010,2010-09-26,5,la coruna,almeria,2.1,3.3,3.5,0,2,H,0.6326914224121654,2.1,0.3286519870655473,H,0.3286519870655473,0.6326914224121654,2.1,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-09-27,5,malaga,villarreal,3.0,3.25,2.38,0,0,A,0.5276562227100944,2.38,0.25582181005002447,A,0.25582181005002447,0.5276562227100944,2.38,True,2.38,1.38,2.38,1.38,✓,✓,≥5%,≥5%
2010,2010-10-02,6,sociedad,espanol,2.2,3.25,3.25,2,1,D,0.36462955654566964,3.25,0.1850460587734264,D,0.1850460587734264,0.36462955654566964,3.25,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-10-02,6,valencia,ath bilbao,1.73,3.4,5.25,2,2,H,0.7364546915412548,1.73,0.27406661636637075,H,0.27406661636637075,0.7364546915412548,1.73,True,1.73,0.73,1.73,0.73,✓,✓,≥5%,≥5%
2010,2010-10-02,6,zaragoza,sp gijon,2.05,3.3,3.6,1,2,H,0.4168894571017895,2.05,-0.14537661294133164,D,0.024236403193895528,0.3103746676345138,3.3,True,0.0,-1.0,3.3,2.3,✗,✓,<0%,2–5%
2010,2010-10-03,6,sevilla,ath madrid,2.1,3.3,3.5,2,2,H,0.5405519843275004,2.1,0.135159167087751,H,0.135159167087751,0.5405519843275004,2.1,True,2.1,1.1,2.1,1.1,✓,✓,≥5%,≥5%
2010,2010-10-03,6,villarreal,santander,1.73,3.5,5.0,2,2,H,0.6880010848560112,1.73,0.19024187680089932,H,0.19024187680089932,0.6880010848560112,1.73,True,1.73,0.73,1.73,0.73,✓,✓,≥5%,≥5%
2010,2010-10-03,6,almeria,malaga,2.2,3.25,3.25,1,2,H,0.4145504524328597,2.2,-0.08798900464770854,A,-0.0442659363380844,0.2940720195882817,3.25,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,<0%
2010,2010-10-03,6,barcelona,mallorca,1.17,7.0,15.0,1,2,H,0.9312390890139556,1.17,0.08954973414632805,H,0.08954973414632805,0.9312390890139556,1.17,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2010,2010-10-03,6,getafe,hercules,2.05,3.3,3.6,2,2,H,0.5846923419587959,2.05,0.1986193010155315,H,0.1986193010155315,0.5846923419587959,2.05,True,2.05,1.0499999999999998,2.05,1.0499999999999998,✓,✓,≥5%,≥5%
2010,2010-10-03,6,osasuna,levante,1.73,3.5,5.0,1,2,H,0.4802829852162003,1.73,-0.1691104355759735,D,0.2666094919218709,0.3618884262633917,3.5,True,0.0,-1.0,3.5,2.5,✗,✓,<0%,≥5%
2010,2010-10-03,6,real madrid,la coruna,1.17,7.0,15.0,2,2,H,0.9097949197844084,1.17,0.06446005614775774,H,0.06446005614775774,0.9097949197844084,1.17,True,1.17,0.16999999999999993,1.17,0.16999999999999993,✓,✓,≥5%,≥5%
2010,2010-10-16,7,malaga,real madrid,8.0,4.5,1.4,0,0,A,0.797174772563887,1.4,0.11604468158944181,A,0.11604468158944181,0.797174772563887,1.4,True,1.4,0.3999999999999999,1.4,0.3999999999999999,✓,✓,≥5%,≥5%
2010,2010-10-16,7,ath madrid,getafe,1.8,3.5,4.5,2,2,H,0.6634399047403609,1.8,0.1941918285326496,H,0.1941918285326496,0.6634399047403609,1.8,True,1.8,0.8,1.8,0.8,✓,✓,≥5%,≥5%
2010,2010-10-16,7,barcelona,valencia,1.4,4.5,7.5,2,2,H,0.9129206226328497,1.4,0.2780888716859895,H,0.2780888716859895,0.9129206226328497,1.4,True,1.4,0.3999999999999999,1.4,0.3999999999999999,✓,✓,≥5%,≥5%
2010,2010-10-17,7,ath bilbao,zaragoza,1.8,3.5,4.5,2,2,H,0.5449833769389967,1.8,-0.01902992150980598,D,0.023489004978529016,0.29242542999386545,3.5,True,1.8,0.8,0.0,-1.0,✓,✗,<0%,2–5%
2010,2010-10-17,7,la coruna,osasuna,2.3,3.2,3.2,1,2,H,0.5092723386911466,2.3,0.1713263789896371,H,0.1713263789896371,0.5092723386911466,2.3,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
