Season,Date,jornada,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,true_result,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return,net_profit,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin
2015,2015-08-21,1,malaga,sevilla,3.4,3.4,2.15,1,0,A,0.5201245361960343,2.15,0.11826775282147373,D,0.17276884911332058,0.3449320144450943,3.4,True,0.0,-1.0,3.4,2.4,✗,✓,≥5%,≥5%
2015,2015-08-22,1,ath madrid,las palmas,1.2,6.5,15.0,2,2,H,0.8081484291810815,1.2,-0.030221884982702174,A,0.11779230979010302,0.0745194873193402,15.0,True,1.2,0.19999999999999996,0.0,-1.0,✓,✗,<0%,≥5%
2015,2015-08-22,1,espanol,getafe,1.91,3.4,4.33,2,2,H,0.37169370686813086,1.91,-0.29006501988187006,A,0.3105213661031241,0.30266082358039814,4.33,True,1.91,0.9099999999999999,0.0,-1.0,✓,✗,<0%,≥5%
2015,2015-08-22,1,la coruna,sociedad,2.5,3.2,3.0,1,1,D,0.5197621042091731,3.2,0.6632387334693541,D,0.6632387334693541,0.5197621042091731,3.2,True,3.2,2.2,3.2,2.2,✓,✓,≥5%,≥5%
2015,2015-08-22,1,vallecano,valencia,3.6,3.5,2.05,1,0,A,0.5729136920335487,2.05,0.17447306866877477,A,0.17447306866877477,0.5729136920335487,2.05,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-08-23,1,ath bilbao,barcelona,6.5,4.33,1.5,0,0,A,0.7781502586054659,1.5,0.16722538790819885,A,0.16722538790819885,0.7781502586054659,1.5,True,1.5,0.5,1.5,0.5,✓,✓,≥5%,≥5%
2015,2015-08-23,1,betis,villarreal,2.8,3.25,2.6,1,0,A,0.6310755754283963,2.6,0.6407964961138304,A,0.6407964961138304,0.6310755754283963,2.6,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-08-23,1,levante,celta,3.6,3.3,2.15,0,1,D,0.5091176276922238,3.3,0.6800881713843385,D,0.6800881713843385,0.5091176276922238,3.3,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-08-23,1,sp gijon,real madrid,13.0,6.5,1.22,1,0,A,0.9628937024270219,1.22,0.17473031696096664,A,0.17473031696096664,0.9628937024270219,1.22,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-08-24,1,granada,eibar,1.91,3.3,4.5,0,1,D,0.40025361787704905,3.3,0.3208369389942618,A,0.3297446164337856,0.29549880365195236,4.5,True,0.0,-1.0,4.5,3.5,✗,✓,≥5%,≥5%
2015,2015-08-28,2,villarreal,espanol,1.57,3.8,6.5,2,1,D,0.4269143661382678,3.8,0.6222745913254175,D,0.6222745913254175,0.4269143661382678,3.8,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-08-29,2,barcelona,malaga,1.1,10.0,26.0,2,2,H,0.9496506448951888,1.1,0.044615709384707714,H,0.044615709384707714,0.9496506448951888,1.1,True,1.1,0.10000000000000009,1.1,0.10000000000000009,✓,✓,2–5%,2–5%
2015,2015-08-29,2,celta,vallecano,1.53,4.33,6.0,2,2,H,0.4482946409343054,1.53,-0.31410919937051274,D,0.41003222726490307,0.32564254671244874,4.33,True,1.53,0.53,0.0,-1.0,✓,✗,<0%,≥5%
2015,2015-08-29,2,real madrid,betis,1.1,10.0,26.0,2,2,H,0.9619545442277371,1.1,0.05814999865051096,H,0.05814999865051096,0.9619545442277371,1.1,True,1.1,0.10000000000000009,1.1,0.10000000000000009,✓,✓,≥5%,≥5%
2015,2015-08-29,2,sociedad,sp gijon,1.85,3.5,4.5,1,1,D,0.4148811092727987,3.5,0.45208388245479547,D,0.45208388245479547,0.4148811092727987,3.5,True,3.5,2.5,3.5,2.5,✓,✓,≥5%,≥5%
2015,2015-08-30,2,eibar,ath bilbao,4.0,3.1,2.1,2,1,D,0.5989200594960966,3.1,0.8566521844378996,D,0.8566521844378996,0.5989200594960966,3.1,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-08-30,2,getafe,granada,2.05,3.2,4.0,0,1,D,0.5111698022609803,3.2,0.6357433672351371,D,0.6357433672351371,0.5111698022609803,3.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-08-30,2,las palmas,levante,1.91,3.3,4.5,1,1,D,0.5930218572941058,3.3,0.9569721290705491,D,0.9569721290705491,0.5930218572941058,3.3,True,3.3,2.3,3.3,2.3,✓,✓,≥5%,≥5%
2015,2015-08-30,2,sevilla,ath madrid,2.8,3.2,2.63,0,0,A,0.4100712423499388,2.63,0.07848736738033901,A,0.07848736738033901,0.4100712423499388,2.63,True,2.63,1.63,2.63,1.63,✓,✓,≥5%,≥5%
2015,2015-08-30,2,valencia,la coruna,1.44,4.33,8.0,1,2,H,0.6435512749495581,1.44,-0.07328616407263633,D,0.15506689138377605,0.26675909731726927,4.33,True,0.0,-1.0,4.33,3.33,✗,✓,<0%,≥5%
2015,2015-09-11,3,levante,sevilla,4.75,3.75,1.75,1,1,D,0.5558005956114798,3.75,1.0842522335430491,D,1.0842522335430491,0.5558005956114798,3.75,True,3.75,2.75,3.75,2.75,✓,✓,≥5%,≥5%
2015,2015-09-12,3,ath madrid,barcelona,3.3,3.2,2.3,0,0,A,0.7420014138466379,2.3,0.7066032518472669,A,0.7066032518472669,0.7420014138466379,2.3,True,2.3,1.2999999999999998,2.3,1.2999999999999998,✓,✓,≥5%,≥5%
2015,2015-09-12,3,betis,sociedad,2.3,3.3,3.2,2,1,D,0.44390362517070714,3.3,0.4648819630633334,D,0.4648819630633334,0.44390362517070714,3.3,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-09-12,3,espanol,real madrid,10.0,5.0,1.33,0,0,A,0.9177383192326874,1.33,0.22059196457947428,A,0.22059196457947428,0.9177383192326874,1.33,True,1.33,0.33000000000000007,1.33,0.33000000000000007,✓,✓,≥5%,≥5%
2015,2015-09-12,3,sp gijon,valencia,3.4,3.2,2.25,0,0,A,0.7110900679375592,2.25,0.5999526528595083,A,0.5999526528595083,0.7110900679375592,2.25,True,2.25,1.25,2.25,1.25,✓,✓,≥5%,≥5%
2015,2015-09-13,3,granada,villarreal,3.5,3.1,2.25,0,0,A,0.526403599232217,2.25,0.18440809827248827,A,0.18440809827248827,0.526403599232217,2.25,True,2.25,1.25,2.25,1.25,✓,✓,≥5%,≥5%
2015,2015-09-13,3,ath bilbao,getafe,1.57,3.75,7.0,2,1,D,0.46927944952782225,3.75,0.7597979357293334,D,0.7597979357293334,0.46927944952782225,3.75,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-09-13,3,celta,las palmas,1.5,4.2,7.0,1,2,H,0.6756684642324343,1.5,0.013502696348651533,A,0.09522797094889235,0.15646113870698464,7.0,True,0.0,-1.0,0.0,-1.0,✗,✗,0–2%,≥5%
2015,2015-09-13,3,malaga,eibar,1.75,3.5,5.25,1,1,D,0.5648115406576963,3.5,0.9768403923019373,D,0.9768403923019373,0.5648115406576963,3.5,True,3.5,2.5,3.5,2.5,✓,✓,≥5%,≥5%
2015,2015-09-14,3,vallecano,la coruna,2.1,3.5,3.5,0,1,D,0.4237695330006748,3.5,0.4831933655023619,D,0.4831933655023619,0.4237695330006748,3.5,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-09-18,4,getafe,malaga,2.6,3.1,2.9,2,1,D,0.45246903509943776,3.1,0.4026540088082571,D,0.4026540088082571,0.45246903509943776,3.1,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-09-19,4,eibar,ath madrid,7.0,3.75,1.57,0,1,D,0.48262073719164383,3.75,0.8098277644686644,D,0.8098277644686644,0.48262073719164383,3.75,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-09-19,4,real madrid,granada,1.06,15.0,26.0,2,2,H,0.9803814561047495,1.06,0.03920434347103452,H,0.03920434347103452,0.9803814561047495,1.06,True,1.06,0.06000000000000005,1.06,0.06000000000000005,✓,✓,2–5%,2–5%
2015,2015-09-19,4,sociedad,espanol,2.0,3.4,4.0,0,1,D,0.5050687258297706,3.4,0.7172336678212199,D,0.7172336678212199,0.5050687258297706,3.4,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-09-19,4,valencia,betis,1.5,4.33,6.5,1,2,H,0.5679517849230883,1.5,-0.1480723226153675,A,0.5008183343462771,0.2308951283609657,6.5,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2015,2015-09-20,4,barcelona,levante,1.06,12.0,29.0,2,2,H,0.9257551626881048,1.06,-0.018699527550608885,H,-0.018699527550608885,0.9257551626881048,1.06,True,1.06,0.06000000000000005,1.06,0.06000000000000005,✓,✓,<0%,<0%
2015,2015-09-20,4,la coruna,sp gijon,2.05,3.1,4.2,0,1,D,0.49864819412477185,3.1,0.5458094017867927,D,0.5458094017867927,0.49864819412477185,3.1,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2015,2015-09-20,4,las palmas,vallecano,1.91,3.5,4.0,0,0,A,0.4855699610634561,4.0,0.9422798442538245,A,0.9422798442538245,0.4855699610634561,4.0,True,4.0,3.0,4.0,3.0,✓,✓,≥5%,≥5%
2015,2015-09-20,4,sevilla,celta,1.8,3.75,4.33,0,1,D,0.3389148537830231,3.75,0.2709307016863367,A,0.40978006630329933,0.3255843109245495,4.33,True,0.0,-1.0,4.33,3.33,✗,✓,≥5%,≥5%
2015,2015-09-20,4,villarreal,ath bilbao,2.0,3.5,3.75,2,1,D,0.35130431362066883,3.5,0.2295650976723409,A,0.3025229725021694,0.34733945933391186,3.75,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
