Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,true_result,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return,net_profit,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin
2020-09-12,2020,granada,ath bilbao,2.75,3.1,2.75,2,0,A,0.4413870023434367,2.75,0.21381425644445096,A,0.21381425644445096,0.4413870023434367,2.75,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2020-09-12,2020,cadiz,osasuna,2.8,3.0,2.75,0,1,D,0.465831397157419,3.0,0.39749419147225695,D,0.39749419147225695,0.465831397157419,3.0,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2020-09-12,2020,eibar,celta,2.5,3.25,2.9,1,1,D,0.5122050503976743,3.25,0.6646664137924414,D,0.6646664137924414,0.5122050503976743,3.25,True,3.25,2.25,3.25,2.25,✓,✓,≥5%,≥5%
2020-09-13,2020,alaves,betis,2.8,3.2,2.6,0,0,A,0.4569077739139744,2.6,0.18796021217633352,D,0.2074391671922191,0.3773247397475684,3.2,True,2.6,1.6,0.0,-1.0,✓,✗,≥5%,≥5%
2020-09-13,2020,valladolid,sociedad,2.8,3.2,2.6,1,1,D,0.42684164277526193,3.2,0.3658932568808382,D,0.3658932568808382,0.42684164277526193,3.2,True,3.2,2.2,3.2,2.2,✓,✓,≥5%,≥5%
2020-09-13,2020,villarreal,huesca,1.57,4.0,6.0,1,1,D,0.4357753884932241,4.0,0.7431015539728965,D,0.7431015539728965,0.4357753884932241,4.0,True,4.0,3.0,4.0,3.0,✓,✓,≥5%,≥5%
2020-09-13,2020,valencia,levante,2.1,3.5,3.5,2,1,D,0.44615298485589944,3.5,0.561535446995648,D,0.561535446995648,0.44615298485589944,3.5,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2020-09-19,2020,celta,valencia,2.2,3.6,3.1,2,1,D,0.45539858080495277,3.6,0.63943489089783,D,0.63943489089783,0.45539858080495277,3.6,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2020-09-19,2020,villarreal,eibar,1.57,4.0,6.0,2,2,H,0.5629225508292586,1.57,-0.11621159519806401,D,0.15207202127113373,0.28801800531778343,4.0,True,1.57,0.5700000000000001,0.0,-1.0,✓,✗,<0%,≥5%
2020-09-19,2020,getafe,osasuna,1.95,3.25,4.33,2,1,D,0.3865478033010637,3.25,0.25628036072845695,A,0.44437338291252537,0.33357352954099895,4.33,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2020-09-20,2020,huesca,cadiz,2.1,3.1,4.0,0,1,D,0.41447194967376516,3.1,0.2848630439886721,A,0.4505599416323598,0.36263998540808995,4.0,True,0.0,-1.0,4.0,3.0,✗,✓,≥5%,≥5%
2020-09-20,2020,betis,valladolid,1.85,3.6,4.33,2,2,H,0.3775135480490552,1.85,-0.30159993610924785,D,0.23362186964066578,0.3426727415668516,3.6,True,1.85,0.8500000000000001,0.0,-1.0,✓,✗,<0%,≥5%
2020-09-20,2020,granada,alaves,2.05,3.1,4.2,2,1,D,0.42677139394792407,3.1,0.32299132123856467,A,0.38687030247167264,0.33020721487420773,4.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2020-09-20,2020,sociedad,real madrid,4.75,3.8,1.72,1,0,A,0.5039580371727197,1.72,-0.1331921760629221,D,0.11990299493065093,0.29471131445543447,3.8,True,0.0,-1.0,3.8,2.8,✗,✓,<0%,≥5%
2020-09-26,2020,valencia,huesca,2.0,3.4,4.0,1,1,D,0.4892710589865824,3.4,0.6635216005543803,D,0.6635216005543803,0.4892710589865824,3.4,True,3.4,2.4,3.4,2.4,✓,✓,≥5%,≥5%
2020-09-26,2020,alaves,getafe,3.5,2.9,2.37,1,0,A,0.46033473627654364,2.37,0.09099332497540846,H,0.1888573887614089,0.3396735396461168,3.5,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2020-09-26,2020,betis,real madrid,4.0,4.0,1.8,0,0,A,0.59712763614108,1.8,0.07482974505394413,A,0.07482974505394413,0.59712763614108,1.8,True,1.8,0.8,1.8,0.8,✓,✓,≥5%,≥5%
2020-09-26,2020,elche,sociedad,4.2,3.3,1.95,0,0,A,0.5284087363333013,1.95,0.03039703584993747,D,0.2581003098992043,0.3812425181512741,3.3,True,1.95,0.95,0.0,-1.0,✓,✗,2–5%,≥5%
2020-09-27,2020,osasuna,levante,2.3,3.2,3.25,0,0,A,0.38810806187138097,3.25,0.26135120108198806,A,0.26135120108198806,0.38810806187138097,3.25,True,3.25,2.25,3.25,2.25,✓,✓,≥5%,≥5%
2020-09-27,2020,eibar,ath bilbao,3.0,3.0,2.55,0,1,D,0.4832441534265101,3.0,0.4497324602795303,D,0.4497324602795303,0.4832441534265101,3.0,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2020-09-27,2020,ath madrid,granada,1.5,4.0,7.5,2,2,H,0.5747207744384997,1.5,-0.1379188383422505,D,0.11681901566856712,0.2792047539171418,4.0,True,1.5,0.5,0.0,-1.0,✓,✗,<0%,≥5%
2020-09-27,2020,cadiz,sevilla,5.0,3.6,1.7,0,0,A,0.5248709381874213,1.7,-0.10771940508138389,D,0.25725115357305417,0.3492364315480706,3.6,True,1.7,0.7,0.0,-1.0,✓,✗,<0%,≥5%
2020-09-27,2020,valladolid,celta,2.8,3.0,2.7,1,0,A,0.3989981567368993,2.7,0.07729502318962811,D,0.17838931395136126,0.3927964379837871,3.0,True,0.0,-1.0,3.0,2.0,✗,✓,≥5%,≥5%
2020-09-27,2020,barcelona,villarreal,1.53,4.33,6.0,2,2,H,0.5534862534961444,1.53,-0.15316603215089897,D,0.22249843095559574,0.2823322011444794,4.33,True,1.53,0.53,0.0,-1.0,✓,✗,<0%,≥5%
2020-09-29,2020,sociedad,valencia,1.53,4.2,5.75,0,2,H,0.5000758090908174,1.53,-0.23488401209104937,D,0.6096987314752491,0.38326160273220217,4.2,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2020-09-29,2020,getafe,betis,2.45,3.1,3.0,2,0,A,0.43368948045621347,3.0,0.3010684413686404,A,0.3010684413686404,0.43368948045621347,3.0,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2020-09-30,2020,villarreal,alaves,1.57,3.8,5.75,2,1,D,0.4756850514273183,3.8,0.8076031954238094,D,0.8076031954238094,0.4756850514273183,3.8,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2020-09-30,2020,huesca,ath madrid,7.5,4.2,1.45,1,0,A,0.7123853829704188,1.45,0.032958805307107264,A,0.032958805307107264,0.7123853829704188,1.45,True,0.0,-1.0,0.0,-1.0,✗,✗,2–5%,2–5%
2020-09-30,2020,real madrid,valladolid,1.22,6.0,11.0,2,2,H,0.6543530161113845,1.22,-0.2016893203441109,D,0.7386330420066893,0.2897721736677816,6.0,True,1.22,0.21999999999999997,0.0,-1.0,✓,✗,<0%,≥5%
2020-09-30,2020,eibar,elche,1.8,3.5,4.5,0,1,D,0.47933194159361625,3.5,0.6776617955776569,D,0.6776617955776569,0.47933194159361625,3.5,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2020-10-01,2020,ath bilbao,cadiz,1.53,3.8,6.5,0,2,H,0.4650179447888349,1.53,-0.28852254447308257,D,0.516080695558742,0.3989686040944058,3.8,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2020-10-01,2020,sevilla,levante,1.4,4.5,7.5,2,2,H,0.6067664893947384,1.4,-0.15052691484736624,D,0.27283647783584475,0.2828525506301877,4.5,True,1.4,0.3999999999999999,0.0,-1.0,✓,✗,<0%,≥5%
2020-10-01,2020,celta,barcelona,5.75,4.2,1.53,0,0,A,0.6906606428187976,1.53,0.056710783512760266,A,0.056710783512760266,0.6906606428187976,1.53,True,1.53,0.53,1.53,0.53,✓,✓,≥5%,≥5%
2020-10-03,2020,valladolid,eibar,2.35,3.0,3.4,0,1,D,0.3890850769107078,3.0,0.16725523073212356,A,0.3226041381357576,0.38900121709875224,3.4,True,0.0,-1.0,3.4,2.4,✗,✓,≥5%,≥5%
2020-10-03,2020,ath madrid,villarreal,1.61,3.9,5.5,1,2,H,0.491208056676163,1.61,-0.20915502875137748,D,0.3905640485833095,0.35655488425213067,3.9,True,0.0,-1.0,3.9,2.9,✗,✓,<0%,≥5%
2020-10-03,2020,elche,huesca,3.1,3.1,2.45,1,1,D,0.4592384545479385,3.1,0.4236392090986094,D,0.4236392090986094,0.4592384545479385,3.1,True,3.1,2.1,3.1,2.1,✓,✓,≥5%,≥5%
