test_season,train_until,acc_test,logloss_test,brier_test,n_test,wk_min,wk_max
2007,2006,0.4263157894736842,1.2349125387397455,0.7084656252008952,380,0,0
2008,2007,0.48157894736842105,1.0946781196370998,0.6514989943768685,380,0,0
2009,2008,0.531578947368421,0.9731693801920158,0.5740858195095201,380,0,0
2010,2009,0.5815789473684211,0.9623616981070499,0.5610101349718548,380,0,0
2011,2010,0.5552631578947368,0.9616208178300106,0.5690769141205007,380,0,0
2012,2011,0.5368421052631579,0.981886652458788,0.5741160361368385,380,0,0
2013,2012,0.5210526315789473,0.9811958348804442,0.578798556492203,380,0,0
2014,2013,0.5578947368421052,0.950563086944718,0.555993639605145,380,0,0
2015,2014,0.5263157894736842,0.9552677463329597,0.5667059805637384,380,0,0
2016,2015,0.5631578947368421,0.9403035358379702,0.5554113334460256,380,0,0
2017,2016,0.5447368421052632,0.9713717824222907,0.5755372185495193,380,0,0
2018,2017,0.48947368421052634,1.0424975821327582,0.6228536775116224,380,0,0
2019,2018,0.46842105263157896,1.0049336333779446,0.6008505003730903,380,0,0
2020,2019,0.5342105263157895,1.0057898410586879,0.5976110647710734,380,0,0
2021,2020,0.5026315789473684,1.004088600407893,0.5999144207248152,380,0,0
2022,2021,0.5447368421052632,0.9837342476999749,0.5851745578182758,380,0,0
2023,2022,0.5421052631578948,0.9511895215831334,0.5663828237350306,380,0,0
2024,2023,0.5789473684210527,0.95894969684923,0.5659558916078109,380,0,0
2025,2024,0.4714285714285714,0.95612706800098,0.5730002699875406,70,0,0
