test_season,train_until,auc_macro,auc_weighted,n_test,wk_min,wk_max,auc_A,support_pos_A,auc_D,support_pos_D,auc_H,support_pos_H
2007,2006,0.5720241734015238,0.5791857121743874,380,0,0,0.5397032720452795,111,0.567533639323683,87,0.6088356088356088,182
2008,2007,0.5848030698195209,0.5976776651081797,380,0,0,0.6086308044148354,113,0.5196138087704354,83,0.6261645962732919,184
2009,2008,0.6718864516956303,0.6784887453328217,380,0,0,0.7323852617970265,91,0.583601108033241,95,0.6996729852566234,194
2010,2009,0.6428589007310557,0.6594410163260594,380,0,0,0.7158932552954292,104,0.5318978930989529,79,0.680785553798785,197
2011,2010,0.6676826450525158,0.6732601297778369,380,0,0,0.733137936025474,98,0.582465406933492,94,0.6874445921985815,188
2012,2011,0.6485090925128194,0.6707406874911698,380,0,0,0.6879600150628188,107,0.5372425997425998,84,0.7203246627330397,189
2013,2012,0.6829869754326973,0.6945276661702936,380,0,0,0.7060541427399508,115,0.6199572852396773,86,0.7229494983184636,179
2014,2013,0.6938824698918896,0.7136482227401467,380,0,0,0.7243175054987709,118,0.5798319327731092,91,0.7774979714037885,171
2015,2014,0.678582999568235,0.6956831400094993,380,0,0,0.7340952380952381,105,0.5595939009661837,92,0.7420598596432832,183
2016,2015,0.6886789754017123,0.7045618347156696,380,0,0,0.7877441077441077,110,0.5466234217537357,89,0.7316693967072934,181
2017,2016,0.6545718764666529,0.6759461679705157,380,0,0,0.7401476620180475,115,0.5083451985445341,86,0.7152227688373773,179
2018,2017,0.6313536570026163,0.6372069375284282,380,0,0,0.6598250811115813,102,0.5606060606060606,110,0.6736298292902068,168
2019,2018,0.6451589785158425,0.6534487471181062,380,0,0,0.6901593385144966,101,0.5518961038961039,105,0.6934214931369269,174
2020,2019,0.6711956996489471,0.677167995220317,380,0,0,0.7356070398727255,113,0.5657266664409764,109,0.7122533926331395,158
2021,2020,0.6661906912514667,0.6722416326213272,380,0,0,0.7045359531772575,104,0.5802940486955357,111,0.7137420718816068,165
2022,2021,0.6436820001060614,0.6544342803956823,380,0,0,0.7227732827786993,109,0.5376655469323139,89,0.6706071706071708,182
2023,2022,0.6995818860221328,0.7117815807638764,380,0,0,0.7548891337281367,106,0.5660881174899866,107,0.7777684068482752,167
2024,2023,0.6951676833610949,0.7071859489333727,380,0,0,0.7358857670492019,114,0.6006338566901023,97,0.7489834263439805,169
2025,2024,0.6645369034257923,0.6692279942279941,60,0,0,0.7555555555555555,15,0.5119047619047619,18,0.7261503928170595,27
