test_season,train_until,auc_macro,auc_weighted,n_test,wk_min,wk_max,auc_A,support_pos_A,auc_D,support_pos_D,auc_H,support_pos_H
2007,2006,0.5644862438365547,0.5738979963863154,380,0,0,0.5321343648481195,111,0.5510180063551842,87,0.6103063603063603,182
2008,2007,0.5778391336432122,0.5953412653104297,380,0,0,0.5961353617712373,113,0.49912782442902925,83,0.6382542147293699,184
2009,2008,0.668553647307788,0.6767353415791668,380,0,0,0.7204836685805543,91,0.5831209602954756,95,0.702056313047334,194
2010,2009,0.6337795419101536,0.6503357280136972,380,0,0,0.7084726867335562,104,0.521594684385382,79,0.6712712546115225,197
2011,2010,0.6806466907269528,0.6850837406224793,380,0,0,0.7425459545520335,98,0.603444427912513,94,0.695949689716312,188
2012,2011,0.628870695825443,0.6530004753723408,380,0,0,0.6718701858888774,107,0.5079633204633205,84,0.7067785811241308,189
2013,2012,0.6837545091347206,0.6953542947363179,380,0,0,0.7100574241181297,115,0.6182566049675685,86,0.7229494983184637,179
2014,2013,0.6833371107483379,0.7046294946252775,380,0,0,0.712220209600207,118,0.5630632343435111,91,0.7747278883012955,171
2015,2014,0.6717334016840262,0.6897305392625155,380,0,0,0.7276536796536796,105,0.5486488526570049,92,0.7388976727413942,183
2016,2015,0.6831043728116265,0.6978823600933064,380,0,0,0.7720538720538721,110,0.5534190509286073,89,0.7238401954524001,181
2017,2016,0.6485786555323587,0.6704342709975244,380,0,0,0.7281050041017227,115,0.5045483309602912,86,0.7130826315350621,179
2018,2017,0.6111038997205182,0.6175417931130105,380,0,0,0.6543941317534209,102,0.5196632996632997,110,0.6592542677448339,168
2019,2018,0.6277524806979533,0.6391658457421063,380,0,0,0.6825295432769085,101,0.506943722943723,105,0.6937841758732284,174
2020,2019,0.6687675490866573,0.6746581770123486,380,0,0,0.7312982665473468,113,0.565658959341887,109,0.7093454213707379,158
2021,2020,0.6436892194565871,0.6516201979354587,380,0,0,0.6968018394648829,104,0.5278810408921933,111,0.7063847780126851,165
2022,2021,0.6383701532678494,0.6485045250615284,380,0,0,0.717796810995633,109,0.5346152361095023,89,0.6626984126984128,182
2023,2022,0.6866162664009332,0.7000905622868093,380,0,0,0.7555088830739568,106,0.5312382321728115,107,0.7731016839560316,167
2024,2023,0.6910156171834102,0.7036836079208613,380,0,0,0.7400738688827331,114,0.5866817237987687,97,0.7462912588687287,169
2025,2024,0.6731029875474319,0.6785064935064935,60,0,0,0.7511111111111111,15,0.533068783068783,18,0.7351290684624018,27
